Time_s,WheatstoneBasicGod_volt_Value
7.1056357,129.7954618931
7.18826768,130.0082653761
7.27089562,131.7602992058
7.35351842,132.7983140945
7.43612626,134.2260688543
7.51876154,134.2857480049
7.60139212,133.5449516773
7.68403892,134.5679759979
7.76668046,134.7385197878
7.84930166,135.7752084732
7.9319455,136.3999992609
8.01456418,136.5397721529
8.09716706,137.0932608843
8.17979734,137.240216136
8.26242296,137.1242702007
8.34503772,137.3650729656
8.42765366,137.5680118799
8.51027536,137.4776363373
8.59289034,137.8337144852
8.67549774,137.7655565739
8.75813412,139.3489837646
8.84074398,139.0300244093
8.92335008,138.9521807432
9.00597716,139.1764879227
9.08862166,139.840438962
9.17122774,140.1565372944
9.25386794,140.1453912258
9.33649394,140.1283293962
9.41913442,139.9417072535
9.50174118,140.1238739491
9.58434762,140.3922736645
9.66699776,140.3396576643
9.74961904,140.1695758104
9.83223746,140.2224451303
9.9148505,139.5724862814
9.99747808,138.7953162193
10.08009844,139.0224248171
10.16270636,137.8895640373
10.24534022,136.2911015749
10.32795794,134.8414570093
10.41058416,134.3828886747
10.4932038,134.6947997808
10.57580838,134.2943459749
10.65844394,134.0962648392
10.74107482,133.5317194462
10.82369394,132.2392821312
10.9063192,131.7380517721
10.98895962,131.4213424921
11.07156398,130.4315328598
11.1541907,130.4522454739
11.23683556,129.8152506351
11.31943974,129.398047924
11.4020756,128.6530792713
11.4847027,128.2796859741
11.56731334,127.4185329676
11.64992166,127.0320862532
11.73255352,126.5577971935
11.81517224,125.844091177
11.89778922,125.4380345345
11.98039882,125.2078562975
12.06302828,124.3816018105
12.1456365,123.4663873911
12.2282435,122.2928389907
12.31087712,121.3427707553
12.39348242,121.2636381388
12.47610962,121.1795806885
12.55873114,120.1244294643
12.64137282,119.4444820285
12.72399904,118.7767013907
12.80660754,118.5220703483
12.88924926,117.8788244724
12.97185888,117.6359578967
13.05447488,116.1211654544
13.13708804,115.3661385179
13.2197325,114.1924932599
13.30235166,113.6275157332
13.38496868,112.2905910015
13.46760156,111.3242208958
13.5502187,106.9890633225
13.63283632,107.5111478567
13.71544158,106.7607551813
13.79804976,106.2857210636
13.88065932,104.3662279844
13.96330604,102.3997589946
14.04591368,99.95114058256
14.12853024,96.45903110504
14.21115476,94.89250183105
14.29377228,93.92161667347
14.3763883,89.85203504562
14.45902632,90.03466367722
