Time_s,ADC
11292.085,0.1247
11304.754,0.1259
11317.426,0.1218
11330.095,0.1188
11342.768,0.1194
11368.106,0.1147
11380.778,0.1123
11393.451,0.1076
11406.122,0.1058
11418.79,0.1011
11444.135,0.0993
11456.804,0.094
11469.502,0.0857
11482.13,0.0751
11494.756,0.0544
11545.267,0.0603
11570.52,0.0662
11583.149,0.0692
11595.774,0.0739
11608.403,0.0804
11621.032,0.0816
11633.658,0.081
11658.917,0.0822
11671.551,0.0833
11684.182,0.0839
11709.441,0.0833
11722.069,0.0822
11734.694,0.0828
11759.951,0.081
11772.583,0.0798
11785.215,0.0786
11797.841,0.0774
11810.471,0.0751
11823.097,0.0727
11873.613,0.0727
11886.247,0.0692
11898.875,0.0709
11911.506,0.068
11924.135,0.0686
11936.763,0.0674
11962.025,0.0662
11974.653,0.0674
11987.286,0.0644
11999.914,0.0627
12012.544,0.0632
12025.175,0.0638
12063.062,0.0603
12075.692,0.0609
12100.958,0.0597
12113.587,0.0627
12126.221,0.0585
12138.852,0.0615
12164.119,0.0585
12176.749,0.0573
12202.015,0.0567
12214.65,0.0585
12227.283,0.0567
12239.915,0.0579
12265.177,0.0556
12290.445,0.0562
12315.706,0.0556
12328.342,0.0567
12340.975,0.0556
12378.881,0.0562
12391.518,0.0538
12404.149,0.0544
12416.775,0.055
12429.409,0.0514
12454.682,0.0544
12492.584,0.0502
12505.217,0.0538
12517.854,0.0502
12530.504,0.0491
12543.124,0.0514
12555.758,0.0491
12581.034,0.0508
12593.667,0.0485
12606.304,0.0497
12618.942,0.0473
12631.577,0.0485
12656.842,0.0473
12694.75,0.0455
12707.384,0.0473
12720.013,0.0449
12732.647,0.0426
12745.281,0.0461
12757.918,0.042
12783.188,0.0443
12795.824,0.0414
12808.463,0.0408
12821.093,0.0443
12833.727,0.0426
12846.365,0.0414
12871.635,0.039
12884.27,0.0408
12896.904,0.0372
12909.542,0.0396
12922.176,0.0414
12934.812,0.0378
12960.086,0.0396
12972.724,0.0372
12985.364,0.0349
12998.001,0.0343
13010.635,0.0349
13023.276,0.0355
13048.557,0.0349
13061.198,0.0331
13073.832,0.0349
13086.464,0.0361
13099.105,0.0343
13124.382,0.0343
13137.021,0.0307
13149.655,0.0349
13162.295,0.0331
13174.93,0.0337
13187.567,0.0301
13212.844,0.0307
13225.483,0.0331
13238.117,0.0296
13250.759,0.029
13263.399,0.0301
13276.042,0.0313
13301.321,0.0278
13313.962,0.0296
13339.241,0.026
13351.888,0.0272
13364.528,0.0248
13377.168,0.0236
13415.086,0.0236
13427.729,0.0242
13440.37,0.0231
13453.009,0.0213
13465.65,0.0225
13478.293,0.0231
13503.573,0.0236
13516.215,0.0225
13541.496,0.0219
13554.137,0.0231
13566.781,0.0195
13579.423,0.0231
13604.698,0.0201
13617.341,0.0219
13629.979,0.0201
13642.622,0.0219
13667.907,0.0207
13680.549,0.0189
13705.831,0.0201
13718.473,0.0207
13731.114,0.0213
13743.758,0.0219
13756.401,0.0201
13769.042,0.0213
13794.322,0.0225
13806.965,0.0207
13819.606,0.0213
13832.247,0.0219
13844.888,0.0207
13870.173,0.0201
13882.82,0.0183
13895.461,0.0189
13908.108,0.0219
13920.753,0.0207
13933.4,0.0213
13996.579,0.0219
14009.229,0.0201
14021.875,0.0189
14059.814,0.0195
14072.457,0.0171
14085.111,0.0177
14123.045,0.0195
14135.693,0.0201
14148.34,0.0231
14160.988,0.0213
14173.635,0.0207
14198.925,0.0201
14224.219,0.0201
14249.508,0.0213
14262.154,0.0195
14274.8,0.0183
14287.446,0.0207
14312.738,0.0195
14338.033,0.0219
14363.327,0.0213
14375.99,0.0236
14388.636,0.0207
14413.932,0.0248
14426.58,0.0231
14464.527,0.0195
14477.174,0.0201
14489.819,0.0219
14515.116,0.0201
14527.764,0.0225
14540.413,0.0213
14565.7,0.0195
14578.344,0.0225
14590.993,0.0207
14603.645,0.0225
14616.292,0.0207
14628.943,0.0213
14654.245,0.0189
14666.893,0.0219
14679.544,0.0213
14692.193,0.0189
14704.84,0.0219
14717.486,0.0201
14755.435,0.0231
14780.736,0.0213
14793.381,0.0225
14806.032,0.0236
14818.679,0.0231
14843.979,0.0236
14856.631,0.0242
14881.927,0.0254
14894.581,0.0219
14907.233,0.0231
14919.886,0.0225
14945.19,0.0219
14957.845,0.0236
14970.498,0.0248
14983.149,0.0231
14995.804,0.0219
15008.455,0.0248
15046.4,0.026
15059.053,0.0248
15084.357,0.0236
15097.009,0.0266
15122.312,0.0248
15134.961,0.026
15160.26,0.0242
15185.559,0.0248
15210.858,0.026
15223.507,0.0266
15236.159,0.0284
15248.812,0.0278
15286.758,0.0301
15299.408,0.0296
15312.06,0.0301
15324.712,0.029
15337.367,0.0331
15350.02,0.0319
15375.332,0.0325
15400.637,0.0361
15413.293,0.0319
15425.949,0.0325
15438.605,0.0343
15451.261,0.0337
15489.23,0.0355
15501.887,0.0361
15514.546,0.0343
15527.2,0.0331
15539.857,0.0361
15565.169,0.0349
15590.478,0.0337
15603.13,0.0355
15628.446,0.0349
15641.102,0.0366
15691.722,0.0378
15755.014,0.0366
15767.671,0.0372
15780.33,0.0378
15792.986,0.042
15805.646,0.0396
15818.306,0.039
15843.622,0.039
15868.942,0.0402
15881.599,0.0408
15894.258,0.0396
15906.916,0.0384
15919.579,0.0414
15944.893,0.0402
15957.556,0.0426
15970.213,0.0432
15982.873,0.0408
16008.191,0.0402
16033.522,0.0414
16071.517,0.0426
16084.14,0.0437
16096.76,0.0426
16122.007,0.0443
16147.252,0.042
16172.492,0.0432
16197.734,0.0455
16222.975,0.0443
16235.596,0.0426
16248.223,0.0443
16260.843,0.0426
16273.469,0.0437
16311.346,0.042
16323.969,0.0437
16336.593,0.0443
16349.219,0.0437
16374.474,0.0443
16387.103,0.0461
16412.357,0.0473
16424.98,0.0467
16437.606,0.0485
16450.228,0.0455
16462.851,0.0467
16475.477,0.0485
16500.731,0.0461
16513.359,0.0473
16525.984,0.0491
16538.61,0.0485
16551.239,0.0467
16563.865,0.0485
16601.749,0.0497
16614.374,0.0485
16627.002,0.0479
16652.253,0.0491
16664.88,0.0485
16690.131,0.0485
16702.757,0.0508
16715.388,0.0491
16728.014,0.0508
16740.64,0.0491
16753.267,0.0526
16778.524,0.052
16791.155,0.0526
16803.784,0.0514
16816.41,0.0532
16829.036,0.052
16841.662,0.0532
16866.92,0.0508
16879.547,0.055
16892.173,0.052
16904.798,0.0544
16917.426,0.052
16930.054,0.0538
16955.308,0.0562
16967.936,0.0544
16980.562,0.0579
16993.189,0.0538
17005.816,0.0562
17018.443,0.0627
17043.7,0.0638
17056.326,0.0609
17068.953,0.0615
17081.579,0.0638
17094.206,0.0644
17106.834,0.0632
17144.716,0.0662
17157.343,0.0644
17182.598,0.0662
17195.224,0.0644
17207.854,0.0632
17220.483,0.065
17245.739,0.0644
17258.357,0.0662
17270.984,0.0674
17283.616,0.065
17296.247,0.0686
17308.877,0.0662
17334.138,0.0668
17346.767,0.065
17359.398,0.0662
17372.028,0.0686
17384.655,0.065
17409.922,0.0668
17422.554,0.0692
17435.186,0.0656
17447.818,0.068
17460.447,0.0662
17473.075,0.0698
17498.338,0.0668
17510.969,0.0692
17523.596,0.0674
17536.226,0.0668
17548.857,0.0686
17574.124,0.0674
17599.387,0.0686
17624.652,0.068
17637.287,0.0674
17649.92,0.0662
17662.554,0.0668
17687.826,0.0674
17725.722,0.0674
17763.629,0.068
17776.265,0.0698
17801.533,0.068
17814.17,0.0686
17826.808,0.0692
17852.083,0.068
17864.719,0.0703
17877.354,0.0698
17889.99,0.0674
17915.261,0.0662
17940.529,0.0668
17978.433,0.0692
17991.069,0.0715
18003.705,0.0674
18016.343,0.0709
18028.983,0.0698
18041.62,0.0674
18066.903,0.0698
18079.54,0.0674
18092.175,0.068
18104.815,0.0709
18117.454,0.0703
18130.088,0.0698
18167.995,0.0703
18180.633,0.0709
18193.268,0.0715
