Time_s,Temp_C
32556.126,-14.9
32568.739,-16.4
32581.352,-15.65
32593.966,-16.65
32606.577,-15.65
32631.803,-16.4
32644.418,-15.9
32657.032,-16.9
32669.648,-15.65
32682.264,-16.15
32694.882,-15.65
32707.501,-15.4
32720.118,-16.15
32732.743,-14.65
32745.369,-15.65
32757.992,-15.15
32770.608,-15.65
32783.227,-17.4
32795.846,-16.9
32808.463,-16.15
32821.083,-15.65
32833.703,-16.9
32858.949,-16.15
32871.574,-15.15
32884.197,-15.65
32896.818,-16.15
32909.44,-15.65
32947.307,-16.15
32972.549,-15.65
32985.175,-15.9
32997.799,-16.9
33023.048,-15.9
33035.672,-16.15
33048.295,-15.65
33060.921,-16.9
33073.547,-16.4
33086.167,-16.9
33098.788,-15.65
33111.413,-16.15
33124.035,-16.9
33136.661,-15.15
33149.281,-16.9
33161.906,-16.15
33174.533,-15.65
33187.159,-16.4
33212.404,-16.65
33225.031,-15.9
33237.655,-16.9
33250.276,-15.9
33262.9,-15.15
33275.522,-16.15
33288.146,-15.9
33300.77,-16.15
33326.021,-15.9
33338.633,-15.65
33351.256,-16.4
33363.879,-15.65
33376.504,-16.15
33389.121,-14.65
33401.739,-16.15
33426.973,-15.9
33439.588,-16.4
33452.206,-16.9
33464.825,-16.15
33477.444,-15.65
33490.066,-16.65
33502.684,-15.65
33515.306,-16.9
33527.924,-16.15
33540.55,-16.4
33553.171,-15.4
33565.797,-15.9
33578.418,-17.15
33591.049,-16.9
33603.677,-15.65
33616.306,-16.9
33628.93,-15.9
33641.555,-16.65
33654.171,-15.9
33666.792,-17.15
33679.414,-16.65
33692.034,-15.65
33704.653,-15.9
33717.273,-16.9
33742.52,-16.15
33755.151,-15.65
33793.022,-15.9
33805.649,-16.4
33818.277,-15.65
33843.519,-16.15
33856.145,-16.9
33868.776,-17.15
33881.401,-16.15
33894.043,-15.65
33906.672,-16.15
33919.3,-15.15
33931.924,-15.65
33944.547,-16.15
33957.168,-16.65
33969.792,-15.65
33995.038,-16.65
34007.66,-16.9
34020.284,-15.4
34032.91,-15.65
34045.532,-15.4
34058.153,-15.65
34070.785,-15.9
34083.417,-15.65
34108.683,-15.9
34121.316,-16.65
34133.947,-14.4
34146.575,-16.65
34159.208,-15.9
34171.844,-15.4
34184.472,-16.9
34197.1,-14.65
34209.729,-16.15
34235.011,-15.9
34247.63,-15.65
34260.258,-15.4
34272.885,-16.4
34285.51,-15.65
34310.774,-16.65
34323.407,-15.65
34336.046,-15.9
34348.677,-15.65
34361.31,-15.4
34373.943,-16.9
34386.577,-15.4
34399.212,-17.15
34411.848,-15.65
34437.113,-14.9
34449.745,-16.15
34462.378,-15.65
34500.283,-16.15
34512.92,-15.15
34525.552,-16.15
34538.185,-15.9
34550.822,-16.65
34563.456,-15.65
34588.724,-17.4
34601.358,-16.15
34613.986,-16.4
34626.613,-16.15
34651.871,-16.65
34664.503,-16.15
34677.14,-15.4
34689.775,-16.65
34740.327,-15.4
34752.969,-15.65
34765.601,-15.9
34778.229,-16.4
34790.853,-15.4
34803.482,-15.9
34816.111,-15.65
34841.376,-15.4
34854.007,-16.9
34866.633,-15.4
34879.263,-16.15
34904.538,-15.65
34917.18,-16.15
34929.818,-15.65
34942.456,-15.15
34955.095,-15.65
34980.37,-16.15
34993.01,-15.4
35005.649,-15.9
35030.926,-17.15
35043.567,-16.65
35056.207,-15.15
35068.845,-14.65
35081.483,-17.4
35094.124,-16.15
35119.4,-16.65
35132.039,-15.65
35144.678,-14.65
35157.321,-16.65
35169.963,-15.65
35195.248,-15.9
35207.894,-16.15
35233.175,-15.9
35245.815,-15.65
35258.456,-15.9
35271.096,-15.65
35283.736,-16.15
35309.013,-16.9
35321.647,-15.9
35334.281,-15.65
35346.915,-16.15
35359.548,-16.65
35372.183,-16.15
35384.821,-15.9
35397.455,-15.65
35410.089,-16.9
35422.726,-15.65
35435.367,-16.65
35448.013,-16.9
35460.653,-15.65
35473.291,-16.9
35485.933,-15.9
35498.57,-16.4
35511.208,-16.15
35523.869,-17.15
35536.481,-15.65
35549.087,-16.9
35561.693,-15.4
35574.306,-17.15
35586.915,-15.9
35599.529,-15.65
35637.361,-16.4
35649.973,-16.65
35662.586,-15.65
35675.192,-16.65
35687.801,-15.9
35700.415,-16.15
35713.022,-15.65
35738.249,-15.4
35750.864,-16.15
35763.473,-17.4
35776.087,-15.15
35788.699,-17.15
35801.312,-15.4
35813.926,-16.15
35826.541,-15.65
35851.762,-16.15
35864.371,-17.4
35876.979,-16.65
35889.588,-16.9
35902.198,-15.9
35914.816,-15.65
35927.429,-16.15
35940.042,-15.9
35952.653,-14.65
35965.264,-15.9
35990.486,-16.65
36003.095,-15.9
36015.713,-16.65
36028.332,-15.9
36066.179,-16.9
36078.797,-16.15
36091.414,-16.65
36104.028,-16.4
36129.256,-15.9
36141.87,-16.65
36154.483,-15.65
36167.097,-15.15
36179.712,-17.15
36192.321,-16.65
36204.927,-16.9
36217.539,-15.9
36230.155,-16.9
36242.766,-16.4
36255.378,-16.15
36280.608,-15.9
36293.226,-16.4
36305.844,-16.9
36318.46,-16.65
36331.075,-16.9
36343.694,-16.15
36356.311,-15.9
36368.927,-14.65
36381.541,-16.9
36394.154,-15.9
36406.769,-16.15
36419.384,-15.65
36431.996,-16.15
36444.615,-16.65
36469.844,-16.15
36482.456,-15.65
36495.069,-17.15
36507.678,-16.9
36520.29,-16.15
36532.903,-17.15
36545.51,-15.65
