Time_s,preStretchTest_2x24compress_Raw,preStretchTest_2x24compress_DeltaPct,preStretchTest_1x24compress_Raw,preStretchTest_1x24compress_DeltaPct,preStretchTest_2x24stretch_Raw,preStretchTest_2x24stretch_DeltaPct,preStretchTest_1x24stretch_Raw,preStretchTest_1x24stretch_DeltaPct,preStretchTest_rest_Raw,preStretchTest_rest_DeltaPct
1.73472342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.538484375,0.00838226589064967
1.73476532,NaN,NaN,NaN,NaN,NaN,NaN,128.032375,-0.00302648663952094,NaN,NaN
1.7348422,NaN,NaN,110.3812265625,-0.0239170511379754,NaN,NaN,NaN,NaN,NaN,NaN
1.73484738,NaN,NaN,NaN,NaN,145.299765625,-0.00853765368717358,NaN,NaN,NaN,NaN
1.73485634,93.0884140625,-0.0467498651526884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.81730858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.54446875,0.0134741101985336
1.81738914,NaN,NaN,NaN,NaN,NaN,NaN,128.067828125,0.0246634253971122,NaN,NaN
1.8174369,NaN,NaN,110.3805390625,-0.024539743593637,NaN,NaN,NaN,NaN,NaN,NaN
1.81746198,NaN,NaN,NaN,NaN,145.2991875,-0.00893550404791378,NaN,NaN,NaN,NaN
1.817493,93.07853125,-0.0573614889492289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.89991476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.534,0.00456670631790789
1.89998156,NaN,NaN,NaN,NaN,NaN,NaN,128.0398828125,0.00283733122455643,NaN,NaN
1.90002524,NaN,NaN,110.3510078125,-0.0512872149846382,NaN,NaN,NaN,NaN,NaN,NaN
1.9000993,93.0936484375,-0.0411294794264543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.9001027,NaN,NaN,NaN,NaN,145.28240625,-0.0204839172217361,NaN,NaN,NaN,NaN
1.982512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.4969140625,-0.0269881042950724
1.98257228,NaN,NaN,NaN,NaN,NaN,NaN,128.0608046875,0.0191779183629638,NaN,NaN
1.9826439,NaN,NaN,110.326015625,-0.0739235009581335,NaN,NaN,NaN,NaN,NaN,NaN
1.9827092,NaN,NaN,NaN,NaN,145.295046875,-0.0117849728477833,NaN,NaN,NaN,NaN
1.98272316,93.0488984375,-0.0891795830680377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.06510646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.5007265625,-0.0237442139265938
2.06518584,NaN,NaN,NaN,NaN,NaN,NaN,128.03515625,-0.000854250261152957,NaN,NaN
2.06526042,NaN,NaN,110.312546875,-0.0861226122486314,NaN,NaN,NaN,NaN,NaN,NaN
2.06532984,NaN,NaN,NaN,NaN,145.29528125,-0.0116236821610041,NaN,NaN,NaN,NaN
2.06533798,93.0575546875,-0.0798849750312202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.14773258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.4643828125,-0.0546675294883272
2.1477893,NaN,NaN,NaN,NaN,NaN,NaN,128.0539765625,0.0138449560183165,NaN,NaN
2.14788684,NaN,NaN,110.3248359375,-0.0749919846036457,NaN,NaN,NaN,NaN,NaN,NaN
2.14792684,93.05003125,-0.0879632309332522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2.14793112,NaN,NaN,NaN,NaN,145.2835,-0.0197312273500739,NaN,NaN,NaN,NaN
2.23032418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,117.45903125,-0.0592209411735868
2.23037524,NaN,NaN,NaN,NaN,NaN,NaN,128.03625,0,NaN,NaN
2.23048202,NaN,NaN,110.3096875,-0.0887124467801405,NaN,NaN,NaN,NaN,NaN,NaN
2.23054912,NaN,NaN,NaN,NaN,145.272765625,-0.0271183408048451,NaN,NaN,NaN,NaN
2.23056504,93.0341796875,-0.10498377218479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
