Time_s,Peak_uA,Dip_uA
7516.245,5853.273,0.363
7533.745,5855.545,0.359
7551.245,5845.18,0.373
7568.745,5854.214,0.364
7586.245,5849.96,0.363
7603.745,5851.462,0.364
7621.245,5850.62,0.367
7638.745,5836.419,0.377
7656.245,5853.401,0.373
7673.745,5848.415,0.375
7691.245,5859.141,0.386
7708.745,5865.839,0.39
7726.245,5865.081,0.4
7743.745,5865.479,0.386
7761.245,5876.303,0.396
7778.745,5861.685,0.397
7796.245,5862.353,0.397
7813.745,5846.426,0.387
7831.245,5842.28,0.377
7848.745,5848.909,0.381
7866.245,5838.33,0.383
7883.745,5841.052,0.383
7901.245,5851.316,0.391
7918.745,5840.344,0.39
7936.245,5853.688,0.399
7953.745,5852.069,0.403
7971.245,5852.595,0.394
7988.745,5852.083,0.394
8006.245,5836.641,0.388
8023.745,5850.971,0.394
8041.245,5840.623,0.394
8058.745,5843.872,0.376
8076.245,5837.841,0.387
8093.745,5821.782,0.388
8128.745,5836.183,0.377
8146.245,5828.601,0.392
8163.745,5845.026,0.392
8181.245,5827.592,0.401
8198.745,5829.165,0.389
8216.245,5830.243,0.4
8233.745,5829.191,0.407
8251.245,5836.103,0.411
8268.745,5833.146,0.408
8286.245,5840.21,0.401
8303.745,5827.32,0.403
8321.245,5831.365,0.398
8338.745,5827.766,0.404
8356.245,5827.605,0.403
8373.745,5818.75,0.394
8391.245,5818.188,0.4
8408.745,5817.007,0.4
8426.245,5829.614,0.399
8443.745,5822.911,0.414
8461.245,5810.591,0.391
8478.745,5819.528,0.403
8496.245,5810.987,0.4
8513.745,5816.958,0.399
8531.245,5808.011,0.405
8548.745,5817.5,0.405
8566.245,5826.092,0.412
8583.745,5828.046,0.416
8601.245,5824.521,0.411
8618.745,5818.33,0.415
8636.245,5828.418,0.419
8653.745,5824.299,0.424
8671.245,5829.03,0.425
8688.745,5816.334,0.434
8706.245,5821.835,0.428
8723.745,5817.014,0.424
8741.245,5828.936,0.424
8758.745,5820.489,0.431
8776.245,5818.09,0.424
8793.745,5816.43,0.434
8811.245,5800.847,0.425
8828.745,5806.3,0.428
8846.245,5808.879,0.426
8863.745,5813.686,0.429
8881.245,5814.853,0.438
8898.745,5808.327,0.443
8916.245,5798.765,0.436
8933.745,5811.437,0.436
8951.245,5789.064,0.437
8968.745,5803.1,0.434
8986.245,5825.333,0.461
9003.745,5809.011,0.453
9021.245,5828.035,0.452
9038.745,5804.107,0.444
9056.245,5816.313,0.448
9073.745,5812.61,0.446
9091.245,5797.706,0.452
9108.745,5806.397,0.45
9126.245,5799.151,0.461
9143.745,5802.957,0.454
9161.245,5812.465,0.442
9178.745,5794.269,0.464
9196.245,5805.134,0.457
9213.745,5806.029,0.475
9231.245,5804.63,0.475
9248.745,5807.397,0.461
9266.245,5815.108,0.474
9283.745,5796.589,0.463
9301.245,5791.525,0.472
9318.745,5811.616,0.479
9336.245,5796.742,0.473
9353.745,5797.73,0.472
9371.245,5798.167,0.476
9388.745,5797.693,0.464
9406.245,5789.259,0.484
9423.745,5803.688,0.486
9441.245,5796.552,0.486
9458.745,5800.639,0.475
9476.245,5800.228,0.482
9493.745,5797.798,0.486
9511.245,5799.457,0.483
9528.745,5795.118,0.476
9546.245,5784.792,0.486
9563.745,5790.756,0.484
9581.245,5792.421,0.482
9598.745,5786.426,0.482
9616.245,5786.939,0.492
9633.745,5793.215,0.484
9651.245,5788.82,0.483
9668.745,5784.461,0.489
9686.245,5786.681,0.488
9703.745,5783.643,0.497
9721.245,5788.462,0.49
9738.745,5809.475,0.502
9756.245,5795.915,0.503
9773.745,5798.156,0.513
9791.245,5799.099,0.514
9808.745,5790.673,0.508
9826.245,5793.072,0.516
9843.745,5792.831,0.515
9861.245,5788.984,0.522
9878.745,5784.887,0.513
9896.245,5788.366,0.513
9913.745,5774.392,0.504
9931.245,5768.792,0.512
9948.745,5767.95,0.509
9966.245,5771.024,0.499
9983.745,5774.466,0.509
10001.245,5773.244,0.511
10018.745,5762.544,0.522
10036.245,5783.762,0.534
10053.745,5782.008,0.533
10071.245,5791.906,0.529
10088.745,5766.626,0.531
10106.245,5770.532,0.533
10123.745,5771.184,0.528
10141.245,5775.25,0.522
10158.745,5764.033,0.526
10176.245,5762.025,0.527
10193.745,5767.626,0.529
10211.245,5763.195,0.535
10228.745,5755.428,0.53
10246.245,5761.509,0.53
10263.745,5765.642,0.53
10281.245,5759.011,0.541
10298.745,5759.786,0.532
10316.245,5756.146,0.534
10333.745,5759.848,0.536
10351.245,5761.387,0.533
10368.745,5756.627,0.556
10386.245,5756.879,0.544
10403.745,5753.914,0.552
10421.245,5751.687,0.557
10438.745,5763.61,0.56
10456.245,5750.098,0.552
10473.745,5753.283,0.559
10491.245,5761.229,0.56
10508.745,5751.756,0.568
10526.245,5748.887,0.57
10543.745,5763.561,0.577
10561.245,5760.53,0.579
10578.745,5762.737,0.58
10596.245,5758.894,0.581
10613.745,5765.202,0.589
10631.245,5763.204,0.576
10648.745,5762.633,0.574
10666.245,5765.067,0.597
10683.745,5754.576,0.594
10701.245,5747.78,0.594
10718.745,5765.391,0.595
10736.245,5761.664,0.611
10753.745,5756.044,0.605
10771.245,5755.477,0.597
10788.745,5756.479,0.608
10806.245,5760.756,0.608
10823.745,5762.15,0.611
10841.245,5736.391,0.612
10858.745,5760.577,0.617
10876.245,5753.814,0.604
10893.745,5755.125,0.6
10911.245,5745.486,0.617
10928.745,5743.187,0.609
10946.245,5752.876,0.617
10963.745,5742.87,0.615
10981.245,5737.55,0.61
10998.745,5742.767,0.602
11016.245,5750.749,0.625
11033.745,5729.135,0.621
11051.245,5738.303,0.626
11068.745,5739.225,0.613
11086.245,5741.654,0.631
11103.745,5722.692,0.617
11121.245,5732.144,0.627
11138.745,5734.75,0.637
11156.245,5715.424,0.634
11173.745,5742.515,0.623
11191.245,5733.142,0.646
11208.745,5735.71,0.644
11226.245,5732.814,0.644
11243.745,5733.788,0.652
11261.245,5732.391,0.65
11278.745,5724.448,0.646
11296.245,5727.106,0.647
11313.745,5732.791,0.666
11331.245,5723.417,0.669
11348.745,5734.013,0.649
11366.245,5735.57,0.667
11383.745,6053.495,0.648
11401.245,5738.812,0.658
11418.745,5733.441,0.679
11436.245,5727.298,0.673
11453.745,5741.662,0.674
11471.245,5722.736,0.683
11488.745,5729.689,0.671
11506.245,5723.799,0.691
11523.745,5725.562,0.677
11541.245,5724.318,0.688
11558.745,5735.404,0.688
11576.245,5727.003,0.684
11593.745,5725.06,0.695
11611.245,5723.625,0.696
11628.745,5731.187,0.693
11646.245,5721.078,0.692
11663.745,5715.659,0.69
11681.245,5720.065,0.702
11698.745,5719.687,0.704
11716.245,5725.616,0.712
11733.745,5729.578,0.719
11751.245,5735.09,0.708
11768.745,5742.135,0.722
11786.245,5734.053,0.733
11803.745,5734.995,0.728
11821.245,5741.638,0.727
11838.745,5715.869,0.726
11856.245,5734.496,0.739
11873.745,5725.016,0.734
11891.245,5730.164,0.736
11908.745,5732.848,0.739
11926.245,5722.84,0.746
11943.745,5731.952,0.744
11961.245,5729.06,0.742
11978.745,5707.487,0.721
11996.245,5716.42,0.725
12013.745,5704.612,0.73
12031.245,5706.049,0.732
12048.745,5717.336,0.74
12066.245,5706.461,0.734
12083.745,5722.089,0.737
12101.245,5708.823,0.736
12118.745,5720.388,0.739
12136.245,5704.206,0.723
12153.745,5709.398,0.737
12171.245,5713.367,0.739
12188.745,5707.059,0.74
12206.245,5702.31,0.736
12223.745,5708.451,0.738
12241.245,5710.53,0.74
12258.745,5715.303,0.739
12276.245,5715.325,0.739
12293.745,5703.923,0.738
12311.245,5720.303,0.743
12328.745,5710.902,0.745
12346.245,5705.891,0.75
12363.745,5712.136,0.741
12381.245,5707.579,0.751
12398.745,5709.78,0.748
12416.245,5702.904,0.75
12433.745,5701.202,0.751
12451.245,5732.033,0.769
12468.745,5710.089,0.756
12486.245,5711.5,0.766
12503.745,5723.847,0.77
12521.245,5722.401,0.77
12538.745,5720.491,0.774
12556.245,5729.548,0.765
12573.745,5715.626,0.767
12591.245,5726.876,0.775
12608.745,5689.316,0.772
12626.245,5722.638,0.77
12643.745,5718.792,0.781
12661.245,5728.128,0.772
12678.745,5721.991,0.772
12696.245,5715.403,0.767
12713.745,5719.736,0.776
12731.245,5711.59,0.773
12748.745,5720.187,0.774
12766.245,5714.732,0.762
12783.745,5708.845,0.76
12801.245,5703.123,0.752
12818.745,5717.166,0.772
12836.245,5701.063,0.757
12853.745,5714.06,0.767
12871.245,5704.668,0.762
12888.745,5705.251,0.77
12906.245,5713.203,0.768
12923.745,5707.307,0.771
12941.245,5688.843,0.75
12958.745,5696.203,0.764
12976.245,5689.824,0.764
12993.745,5700.572,0.758
13011.245,5696.267,0.758
13028.745,5684.756,0.761
13046.245,5693.343,0.756
13063.745,5680.708,0.747
13081.245,5693.253,0.757
13098.745,5700.528,0.768
13116.245,5693.612,0.77
13133.745,5706.663,0.768
13151.245,5704.966,0.766
13168.745,5700.469,0.764
13186.245,5699.805,0.77
13203.745,5702.934,0.765
13221.245,5700.914,0.777
