Time_s,WheatstoneBasic2_Value
25.86414288,-154.0796756744
25.94677034,-153.4337699413
26.0293942,-153.0701220036
26.11202246,-153.0361622572
26.19464226,-152.9354006052
26.27728032,-152.7246683836
26.35990404,-152.5773853064
26.44254706,-151.7513543367
26.52517274,-151.0111540556
26.60778992,-150.2738893032
26.69040048,-149.8289555311
26.77303838,-149.2864489555
26.85567528,-148.9072740078
26.93832,-148.4349220991
27.02096732,-148.0201780796
27.10359746,-147.1723914146
27.1862218,-145.828679204
27.26884978,-144.5323675871
27.35147914,-144.2741900682
27.43410204,-143.8596099615
27.51673914,-142.857760191
27.59935164,-141.4909660816
27.68201054,-140.3822302818
27.76464568,-139.6685987711
27.8472718,-138.878762722
27.92992276,-138.2242590189
28.01255716,-137.4993622303
28.09517834,-135.6357634068
28.17780728,-135.3174448013
28.26045178,-133.7529569864
28.34308468,-132.077679038
28.4257041,-130.032107234
28.5083492,-127.7700066566
28.59099718,-126.7051994801
28.67361932,-124.8706802726
28.7562371,-123.7148270011
28.83888314,-123.3009546995
28.92152934,-121.6356828809
29.00415246,-121.6263175011
29.0867643,-120.0928613544
29.16939212,-117.0069202781
29.25202068,-116.0242035985
29.33464878,-115.2747273445
29.41729106,-114.6741360426
29.49994808,-113.268814981
29.58256662,-112.0427101851
29.66518894,-108.8578775525
29.74782246,-105.6600213051
29.83046404,-103.4406423569
29.91312562,-103.0389964581
29.99575646,-97.65866398811
30.07839852,-95.42226046324
30.16103984,-91.57338738441
30.24365762,-88.59971165657
30.32630482,-84.78897064924
30.4089364,-80.54195344448
30.49158968,-77.11678743362
30.5742149,-75.67456364632
30.65683466,-73.54868203402
30.73947406,-71.77986204624
30.82211426,-68.07854771614
30.90472816,-65.61283767223
30.98737674,-61.64776906371
31.07001138,-60.38602441549
31.15263452,-58.548476547
31.235257,-57.39165097475
31.31787326,-51.98855698109
31.40048982,-49.0415841341
31.48312244,-45.31099274755
31.56575262,-43.70412230492
31.64836982,-39.20281678438
31.7310139,-38.32739219069
31.81364434,-34.88629683852
31.89626208,-33.5711017251
31.97889238,-29.14152666926
32.061507,-23.45434948802
32.14414584,-18.99517513812
32.22679186,-16.12376607955
32.30940822,-13.73221818358
32.39202974,-10.98886597902
32.47466722,-8.664791472256
32.5573166,-5.839218851179
32.6399361,-3.197201993316
32.72255652,0.5955342203379
32.80518178,5.493831355125
32.8878058,6.51786942035
32.97042552,9.443858638406
33.05305166,11.02280989289
33.1357043,15.85166528821
33.2183221,17.45882071555
33.30095682,20.88721841574
33.3835701,23.47433008254
33.46619272,27.51877531409
33.54884946,32.45758265257
33.63146208,34.32856500149
33.71408056,36.65636852384
33.79671462,38.59848156571
33.879346,41.44455865026
33.96200236,47.39454016089
34.0446157,54.07952144742
34.12724924,59.31519344449
34.20988084,62.8632158041
34.29252112,65.77044725418
34.3751517,69.26987320185
34.45777542,72.85179197788
34.54039362,75.71202516556
34.62301358,82.01825618744
34.705653,85.90921014547
34.78827928,90.22127836943
34.87092546,91.67186170816
34.95355408,95.45662254095
35.03619286,97.91013598442
35.11882202,103.2317504287
35.20143942,107.5509637594
35.28408776,112.2206673026
35.36670178,115.3288036585
35.44934842,117.2698959708
35.53198058,119.6173354983
35.61463366,122.4999949336
35.6972675,124.9034032226
35.77988212,127.1561980247
35.86251956,130.7373046875
35.94514682,132.1315616369
36.0277896,133.7412744761
36.11042866,135.8316540718
36.1930735,137.433975935
36.2757036,139.3655538559
36.35835532,142.0474350452
36.44098986,144.4049924612
36.52363118,146.8282938004
36.60624424,148.558780551
36.68886626,149.9337553978
36.7715064,151.9744843245
36.85415224,153.2286554575
36.93680668,155.4363965988
37.01943818,156.7035466433
37.10205932,159.2470705509
37.18469664,161.6538614035
37.26734952,163.6365056038
37.3499758,164.0186905861
37.43259342,165.614798665
37.51524796,166.3943529129
37.5978772,167.3673689365
37.68049798,168.398141861
37.76311922,169.4170832634
37.84577272,169.4027036428
37.92841566,169.510409236
38.01103626,170.0028628111
38.09366816,169.7662174702
38.17629252,170.0266748667
38.25891794,170.2389419079
38.341554,170.4995036125
38.42420208,171.8208938837
38.50682144,171.8886941671
38.5894654,172.4954396486
38.67212254,172.9381382465
38.75475694,172.7543771267
38.83737944,173.1946021318
38.92000356,173.4247803688
39.00263614,173.4968870878
39.08528468,173.6485511065
39.16791062,173.8343089819
39.25056882,173.9472448826
39.33321172,173.7810820341
39.41583796,173.9587187767
39.49846422,174.107760191
39.58109432,174.7631728649
39.66370704,174.5862364769
39.74632798,175.0765144825
39.82895414,174.9551892281
39.91160458,174.8097985983
39.99424278,174.7669428587
40.07686688,174.4898110628
40.15949402,175.0718057156
40.2421415,175.1625686884
40.32476216,175.337344408
40.40738112,175.5207479
40.490003,175.4390150309
40.57262198,175.5913347006
40.65528074,175.2395629883
40.73792978,175.2133071423
40.82057972,175.1606166363
40.90321602,175.2209067345
40.98585558,175.112709403
41.06848266,175.1287132502
41.151109,174.9839484692
41.23373776,175.1442551613
41.3163622,175.2196103334
41.39898296,175.8390665054
41.48162544,175.8983135223
41.5642542,176.0842651129
41.64688574,176.4229536057
41.72950776,176.3785779476
41.81215124,176.3366311789
41.8947743,176.6224354506
41.97740048,176.3101220131
42.06004012,176.8244802952
42.14266416,177.1701723337
42.22529826,177.3955374956
42.30792646,177.3020476103
42.3905574,177.3710697889
42.47317678,177.3762702942
42.55579724,177.4183213711
42.63842814,177.6961684227
42.72107634,177.7200251818
42.8037027,177.8506487608
42.88632782,177.8166741133
42.96897656,178.0116856098
43.05161176,177.9735982418
43.1342347,177.9400855303
43.21686626,177.7240931988
43.2995078,178.0205518007
43.3821189,178.2355457544
43.464753,178.0690401793
43.54739046,178.3081442118
43.6300314,178.0513674021
43.71266506,178.0456006527
43.79529322,178.0139505863
43.87793846,178.3353388309
43.96058136,178.5274147987
44.04319412,178.5064935684
44.12584416,178.6358654499
44.20847388,178.5858571529
44.2911037,178.3652901649
44.37372468,178.6491423845
44.45637046,178.6100417376
44.53898752,178.7155419588
44.6216099,178.6358207464
44.70425924,178.8098216057
44.78690658,179.0654808283
44.86955396,178.9841651917
44.95219482,179.0876239538
45.03481638,179.305896163
45.11744142,179.1046857834
45.20008338,179.381981492
45.28270474,179.5328706503
45.36535924,179.313108325
45.44797722,179.4779747725
45.53060446,179.3783158064
45.61322338,179.4395893812
45.69585536,179.5032024384
45.77847152,179.6533465385
45.86112056,180.196121335
45.94375912,180.3649812937
46.02637798,180.6217730045
46.10900406,180.6514561176
46.19162624,180.4675608873
46.27426268,180.300489068
46.35689212,180.4965734482
46.4395261,180.5279999971
46.52216082,180.6456148624
46.60477378,180.7786524296
46.687397,180.7145476341
46.77003456,180.8020919561
46.85267236,180.5025488138
46.93530962,180.934458971
47.01793926,180.795148015
47.10055374,181.0984611511
47.18317476,181.1277419329
47.26579754,181.3212633133
47.34841658,181.1835318804
