Time_s,Sensor_negDegPLA,Sensor_negDegTPU,TempActual_C,TempTarget_C,HumActual_RH,HumTarget_RH
2579.84190044,77.166421875,NaN,NaN,NaN,NaN,NaN
2596.81662966,NaN,116.160015625,NaN,NaN,NaN,NaN
2614.8958309,NaN,116.103171875,NaN,NaN,NaN,NaN
2632,NaN,NaN,24.978,25,30.115,30
2649.57619346,77.164828125,NaN,NaN,NaN,NaN,NaN
2668,NaN,NaN,24.984,25,30.195,30
2685.73471616,77.15496875,NaN,NaN,NaN,NaN,NaN
2703.81397942,77.1561171875,NaN,NaN,NaN,NaN,NaN
2720.78828488,NaN,116.0576875,NaN,NaN,NaN,NaN
2738.86743966,NaN,116.0391953125,NaN,NaN,NaN,NaN
2755.46904272,77.146953125,NaN,NaN,NaN,NaN,NaN
2773.54830736,77.1521796875,NaN,NaN,NaN,NaN,NaN
2791.62760578,77.1447578125,NaN,NaN,NaN,NaN,NaN
2808.6015066,NaN,115.9717109375,NaN,NaN,NaN,NaN
2826,NaN,NaN,24.973,25,30.312,30
2843.28270254,77.1428984375,NaN,NaN,NaN,NaN,NaN
2861.36196666,77.1413671875,NaN,NaN,NaN,NaN,NaN
2878.3355858,NaN,115.9244375,NaN,NaN,NaN,NaN
2896.41477816,NaN,115.94971875,NaN,NaN,NaN,NaN
2914.49398236,NaN,115.917625,NaN,NaN,NaN,NaN
2932.57315774,NaN,115.924109375,NaN,NaN,NaN,NaN
2949.17553412,77.1391640625,NaN,NaN,NaN,NaN,NaN
2967.25479874,77.127421875,NaN,NaN,NaN,NaN,NaN
2985.33405516,77.1429921875,NaN,NaN,NaN,NaN,NaN
3003.4133474,77.1305078125,NaN,NaN,NaN,NaN,NaN
3020.3864934,NaN,115.8669453125,NaN,NaN,NaN,NaN
3038.46569064,NaN,115.8707734375,NaN,NaN,NaN,NaN
3056,NaN,NaN,24.973,25,30.307,30
3073.14776032,77.132375,NaN,NaN,NaN,NaN,NaN
3091,NaN,NaN,24.966,25,30.369,30
3108.19986134,NaN,115.8208984375,NaN,NaN,NaN,NaN
3126.27906804,NaN,115.79840625,NaN,NaN,NaN,NaN
3142.88219774,77.1333359375,NaN,NaN,NaN,NaN,NaN
3160.96148224,77.123984375,NaN,NaN,NaN,NaN,NaN
3178,NaN,NaN,24.958,25,30.303,30
3196.0131257,NaN,115.758140625,NaN,NaN,NaN,NaN
3214,NaN,NaN,24.957,25,30.325,30
3230.69588778,77.1148203125,NaN,NaN,NaN,NaN,NaN
3248.7751977,77.117890625,NaN,NaN,NaN,NaN,NaN
3265.7472107,NaN,115.70790625,NaN,NaN,NaN,NaN
3284.93377846,77.1195,NaN,NaN,NaN,NaN,NaN
3301.90562268,NaN,115.677640625,NaN,NaN,NaN,NaN
3319.98479448,NaN,115.66384375,NaN,NaN,NaN,NaN
3336.58886348,77.1056484375,NaN,NaN,NaN,NaN,NaN
3354.66813104,77.1040078125,NaN,NaN,NaN,NaN,NaN
3372.74738436,77.1077890625,NaN,NaN,NaN,NaN,NaN
3389.71879016,NaN,115.6527265625,NaN,NaN,NaN,NaN
3406.32318532,77.1060859375,NaN,NaN,NaN,NaN,NaN
3424.40247274,77.10375,NaN,NaN,NaN,NaN,NaN
3442.48176892,77.107359375,NaN,NaN,NaN,NaN,NaN
3460,NaN,NaN,24.945,25,30.31,30
3478.64035358,77.11215625,NaN,NaN,NaN,NaN,NaN
3496,NaN,NaN,24.943,25,30.389,30
3513.69045036,NaN,115.6112109375,NaN,NaN,NaN,NaN
3530.29538244,77.094296875,NaN,NaN,NaN,NaN,NaN
3548.37465982,77.1037578125,NaN,NaN,NaN,NaN,NaN
3566.4539757,77.102890625,NaN,NaN,NaN,NaN,NaN
3583.42457144,NaN,115.583828125,NaN,NaN,NaN,NaN
3601.50376628,NaN,115.5786015625,NaN,NaN,NaN,NaN
3619,NaN,NaN,24.933,25,30.337,30
3636.18835474,77.0913671875,NaN,NaN,NaN,NaN,NaN
3654.2676284,77.0895625,NaN,NaN,NaN,NaN,NaN
3672.34689776,77.0899296875,NaN,NaN,NaN,NaN,NaN
3690.42610494,77.095015625,NaN,NaN,NaN,NaN,NaN
3706,NaN,NaN,24.923,25,30.19,30
3725.47542118,NaN,115.4868046875,NaN,NaN,NaN,NaN
3743,NaN,NaN,24.922,25,30.222,30
3759.05105812,NaN,115.4693671875,NaN,NaN,NaN,NaN
