T_amb_C,T_MCU_C
37.905,39.850
37.974,38.600
38.043,39.350
38.112,40.100
38.180,38.100
38.249,39.850
38.318,38.600
38.456,38.850
38.522,38.600
38.587,40.100
38.652,39.600
38.783,39.100
38.849,39.850
38.919,40.100
38.989,39.850
39.059,38.850
39.129,39.600
39.269,41.100
39.410,40.100
39.480,39.850
39.550,40.850
39.620,39.850
39.690,41.100
39.836,39.850
39.910,41.100
39.984,40.850
40.058,41.100
40.206,40.850
40.339,41.350
40.405,41.100
40.538,40.850
40.604,42.100
40.739,41.100
40.809,42.350
40.949,41.100
41.089,42.350
41.158,40.850
41.228,43.350
41.298,42.350
41.438,41.100
41.509,42.100
41.652,43.600
41.723,41.850
41.795,43.350
41.866,42.350
41.939,42.100
42.011,43.600
42.083,42.100
42.155,42.350
42.372,43.600
42.448,43.100
42.524,43.350
42.599,42.100
42.675,43.350
42.822,43.600
42.891,43.100
42.959,44.850
43.028,43.350
43.097,44.600
43.166,44.100
43.235,43.600
43.304,44.350
43.374,44.100
43.515,44.600
43.585,44.100
43.655,44.850
43.725,43.600
43.794,44.350
43.864,44.850
43.933,45.600
44.003,45.350
44.072,43.350
44.141,44.350
44.210,44.850
44.282,44.600
44.354,43.350
44.427,44.350
44.499,45.350
44.572,45.850
44.644,47.350
44.716,45.600
44.788,45.350
44.860,45.600
44.932,45.850
45.004,44.600
45.076,46.100
45.218,44.850
45.288,46.600
45.430,45.350
45.500,46.600
45.571,45.850
45.642,46.600
45.713,45.850
45.783,46.850
45.995,46.100
46.066,47.350
46.137,46.850
46.206,47.850
46.270,45.600
46.334,46.600
46.462,47.350
46.526,46.850
46.595,47.100
46.667,46.100
46.740,46.600
46.813,47.850
46.959,48.100
47.032,47.350
47.106,48.100
47.178,47.600
47.247,46.600
47.316,48.100
47.385,47.850
47.523,48.100
47.592,49.100
47.661,48.850
47.730,48.100
47.799,49.350
47.937,47.100
48.006,47.850
48.079,49.350
48.152,49.100
48.226,48.100
48.299,49.600
48.373,47.600
48.444,49.350
48.511,48.850
48.577,49.350
48.644,50.350
48.711,48.600
48.777,50.350
48.844,49.350
48.913,50.100
48.987,49.350
49.062,50.100
49.136,50.600
49.284,50.350
49.341,50.100
49.395,50.850
49.449,50.600
49.503,49.350
49.557,50.100
49.611,50.350
49.665,50.100
49.719,49.600
49.773,50.600
49.827,50.100
49.881,51.350
49.935,49.600
49.989,49.850
50.043,50.100
50.097,51.600
50.096,50.100
50.059,50.600
50.023,49.600
49.986,50.350
49.949,49.600
49.914,50.850
49.895,51.100
49.877,50.600
49.858,51.100
49.839,52.100
49.821,51.350
49.804,51.600
49.789,51.350
49.794,51.100
49.805,51.350
49.821,51.850
49.826,51.350
49.831,51.850
49.836,52.100
49.842,51.850
49.847,51.100
49.864,50.350
49.881,52.100
49.898,52.850
49.915,50.600
49.932,51.100
49.954,50.850
