Time_s,Sawtooth_center_Value
75.02923124,25.67936293781
75.11187098,25.42902156711
75.19450966,24.62113089859
75.27712704,23.41503463686
75.35977732,21.60589769483
75.44241314,21.24270796776
75.525047,20.56445740163
75.60767338,19.92054283619
75.69031184,18.49345862865
75.77297008,17.59472489357
75.8555935,16.56043343246
75.93823976,15.3531851247
76.02086536,12.7521539107
76.1034816,11.18529122323
76.18610918,9.430382400751
76.26874374,8.572161197662
76.35138484,8.435369469225
76.43401666,7.194731384516
76.51663384,5.670242477208
76.59928026,4.34992229566
76.68192168,3.204399952665
76.76454552,1.829494256526
76.84717656,1.231283997186
76.92982612,1.557046314701
77.01244378,0.5629467777908
77.09505386,-1.162978820503
77.17770088,-2.920024096966
77.26034784,-3.980837296695
77.34297568,-5.157960578799
77.4255979,-6.337845697999
77.508244,-6.635061930865
77.5908711,-7.671234663576
77.67349158,-8.124484680593
77.75612676,-9.633140638471
77.83875206,-8.780761621892
77.92138054,-9.082812815905
78.00401016,-9.845950640738
78.08664468,-10.91205794364
78.16928358,-10.8681851998
78.25191948,-9.534107521176
78.334534,-9.656864218414
78.4171555,-9.362989105284
78.49978888,-9.243798442185
78.58240726,-9.105497971177
78.66503138,-8.566450327635
78.7476773,-8.165481500328
78.83029672,-7.358814589679
78.91293382,-6.838082801551
78.99554712,-6.620553322136
79.0781885,-6.591532379389
79.1608092,-6.39070244506
79.2434383,-6.285335402936
79.32609108,-5.304206162691
79.40872024,-4.214489366859
79.49132836,-3.640668699518
79.57397106,-3.362219780684
79.6566028,-3.161045722663
79.73921328,-3.344372613356
79.82183228,-2.55164084956
79.9044485,-1.81717867963
79.98708334,-0.416885537561
80.06969996,1.190059236251
80.15232964,1.837439835072
80.23497414,1.709622098133
80.31760584,2.916866680607
80.40025812,3.438961226493
80.48287962,3.662355011329
80.56550264,5.544269457459
80.6481581,6.797804497182
80.7307817,9.023098275065
80.81342346,9.73507668823
80.8960381,9.155174717307
80.97865704,8.944558911026
81.06129158,8.737868629396
81.14391678,8.019672706723
81.22654242,7.578299380839
81.30918432,6.582126952708
81.39181628,6.298046559095
81.47445258,5.902732722461
81.55707816,5.327672231942
81.63971324,4.323897883296
81.72234196,3.325652098283
81.80496982,3.122871275991
81.88758752,3.010023385286
81.9702218,3.132314421237
82.05284616,3.244356950745
82.13545452,3.022460499778
82.2180817,2.968683838844
82.30070064,2.863666275516
82.3833352,3.15119815059
82.46597886,3.26162786223
82.54860612,3.503446467221
82.63123282,3.59948258847
82.7138477,3.722233464941
82.79646376,3.51530732587
82.87908364,3.364690113813
82.9617307,3.210847033188
83.04434862,3.372980281711
