Time_s,Voltage_mV,CmdDisp_um,CmdStrain_pct
34.04462804,-24.97613243759,-15.712164140625,-0.05237388046875
34.1272523,-27.47627720237,-15.8735396484375,-0.052911798828125
34.20988568,-33.69561582804,-16.03493296875,-0.0534497765625
34.29251612,-41.17174446583,-16.196320546875,-0.05398773515625
34.37513706,-46.49032279849,-16.3576895703125,-0.0545256319010417
34.4577686,-52.85669863224,-16.519079296875,-0.05506359765625
34.54038216,-55.49319833517,-16.68043390625,-0.0556014463541667
34.62304722,-58.26188623905,-16.8418891015625,-0.0561396303385416
34.7056816,-59.52915176749,-17.003284375,-0.0566776145833333
34.78831276,-61.68094277382,-17.164673359375,-0.0572155778645833
34.870936,-61.777561903,-17.326046875,-0.0577534895833333
34.95358088,-64.97739255428,-17.48746265625,-0.0582915421875
35.03619448,-67.23028421402,-17.64881734375,-0.0588293911458333
35.11883858,-69.57843154669,-17.8102316015625,-0.059367438671875
35.20145522,-70.83248347044,-17.9715922265625,-0.059905307421875
35.28408722,-69.81831789017,-18.1329828515625,-0.060443276171875
35.36670736,-72.15692847967,-18.2943503125,-0.0609811677083333
35.44934652,-73.79202544689,-18.455754921875,-0.0615191830729167
35.53197484,-76.07141137123,-18.617138359375,-0.0620571278645833
35.6146031,-78.24873924255,-18.7785216796875,-0.062595072265625
35.69721942,-79.43550497293,-18.9398816796875,-0.0631329389322917
35.77983372,-81.34988695383,-19.101237734375,-0.0636707924479167
35.86246722,-82.39860087633,-19.2626312890625,-0.0642087709635417
35.94510958,-85.12853085995,-19.4240421484375,-0.0647468071614583
36.02772806,-85.5381116271,-19.4770936328125,-0.0649236454427083
36.11037894,-87.76754140854,-19.3156661328125,-0.0643855537760417
36.1930076,-88.44163268805,-19.15428203125,-0.0638476067708333
36.27563758,-89.27251398563,-18.9928953515625,-0.063309651171875
36.35826634,-89.55851942301,-18.8315110546875,-0.062771703515625
36.44091724,-88.14393728971,-18.670083515625,-0.06223361171875
36.52353176,-87.66458928585,-18.50872703125,-0.0616957567708333
36.60615416,-86.93990111351,-18.34735515625,-0.0611578505208333
36.68878412,-86.29135787487,-18.185968515625,-0.0606198950520833
36.77141808,-85.66502481699,-18.0245740625,-0.0600819135416667
36.8540483,-83.42278748751,-17.8631869140625,-0.0595439563802083
36.93671042,-83.96832644939,-17.7017374609375,-0.0590057915364583
37.01935158,-83.50822329521,-17.5403289453125,-0.0584677631510417
37.10198354,-82.78139680624,-17.3789383984375,-0.0579297946614583
37.18459652,-81.26182854176,-17.217584921875,-0.0573919497395833
37.26724846,-80.8068588376,-17.0561553515625,-0.056853851171875
37.34986892,-80.64426481724,-16.894787265625,-0.0563159575520833
37.43248384,-80.02398908138,-16.73343,-0.0557781
37.5151052,-79.97287809849,-16.57206015625,-0.0552402005208333
37.59773458,-80.43453842402,-16.4106746484375,-0.054702248828125
37.68035174,-79.35000211,-16.2493130078125,-0.0541643766927083
37.76298838,-76.01173967123,-16.0879133203125,-0.053626377734375
37.84560368,-77.02856510878,-15.9265553125,-0.0530885177083333
37.92822254,-75.96247643232,-15.7651903515625,-0.0525506345052083
38.01085554,-75.35268366337,-15.6037977734375,-0.0520126592447917
38.0935143,-74.97362792492,-15.4423548828125,-0.0514745162760417
38.17615722,-75.64509660006,-15.2809429296875,-0.0509364764322917
38.25878452,-75.12951642275,-15.119561484375,-0.05039853828125
38.34142078,-73.56952130795,-14.9581625390625,-0.049860541796875
38.4240512,-72.99526035786,-14.796775,-0.0493225833333333
38.50669568,-71.72347605228,-14.63536,-0.0487845333333333
38.5893137,-71.80834561586,-14.4739966796875,-0.0482466555989583
38.67195814,-71.00238651037,-14.3125817578125,-0.047708605859375
38.7546033,-68.81337612867,-14.1511654296875,-0.0471705514322917
38.83724922,-68.3367177844,-13.9897476171875,-0.0466324920572917
