Time_s,ja3_Raw,ja3_DeltaPct,ja2_Raw,ja2_DeltaPct,PLA_efter70_1_Raw,PLA_efter70_1_DeltaPct
3.63515362,50.22271484375,35.2026796956876,NaN,NaN,NaN,NaN
3.63541906,NaN,NaN,50.62456640625,35.8387802076171,NaN,NaN
3.6357386,NaN,NaN,NaN,NaN,50.0080546875,34.7529161149792
3.71777302,50.13329296875,34.9619504328226,NaN,NaN,NaN,NaN
3.71806314,NaN,NaN,50.53016015625,35.585463868252,NaN,NaN
3.71839354,NaN,NaN,NaN,NaN,49.95141796875,34.6003014400345
3.80036542,50.14230078125,34.9862000257008,NaN,NaN,NaN,NaN
3.80067834,NaN,NaN,50.3544140625,35.1138917305338,NaN,NaN
3.80101934,NaN,NaN,NaN,NaN,49.78148046875,34.1423837340692
3.88297608,50.199515625,35.1402259523644,NaN,NaN,NaN,NaN
3.88329652,NaN,NaN,50.47036328125,35.4250134162907,NaN,NaN
3.88364254,NaN,NaN,NaN,NaN,49.85978515625,34.3533854427346
3.96560302,50.1159296875,34.9152073971143,NaN,NaN,NaN,NaN
3.96592268,NaN,NaN,50.4754296875,35.438607892133,NaN,NaN
3.96629016,NaN,NaN,NaN,NaN,49.76495703125,34.0978592789333
4.04820042,50.16935546875,35.0590329312836,NaN,NaN,NaN,NaN
4.04852472,NaN,NaN,50.54853125,35.6347582552114,NaN,NaN
4.0489186,NaN,NaN,NaN,NaN,49.82033203125,34.2470740959562
4.13079306,50.1385078125,34.975989117338,NaN,NaN,NaN,NaN
4.1311591,NaN,NaN,50.553921875,35.6492226936558,NaN,NaN
4.13153026,NaN,NaN,NaN,NaN,49.72525390625,33.990874276096
4.21340634,50.0465703125,34.7284876351263,NaN,NaN,NaN,NaN
4.21376506,NaN,NaN,50.43128125,35.320146237569,NaN,NaN
4.21417864,NaN,NaN,NaN,NaN,49.7670390625,34.1034695707979
4.2960002,50.07537109375,34.8060211339513,NaN,NaN,NaN,NaN
4.29638734,NaN,NaN,50.30576953125,34.983365895789,NaN,NaN
4.2968221,NaN,NaN,NaN,NaN,49.8467265625,34.3181974395386
4.37863106,50.07251171875,34.7983235181722,NaN,NaN,NaN,NaN
4.3790007,NaN,NaN,50.3757265625,35.1710786697748,NaN,NaN
4.3794427,NaN,NaN,NaN,NaN,49.836625,34.2909775244129
4.46124262,49.95264453125,34.4756335758223,NaN,NaN,NaN,NaN
4.46162208,NaN,NaN,50.4037734375,35.2463356755941,NaN,NaN
4.46207912,NaN,NaN,NaN,NaN,49.7780625,34.1331735926404
4.5438535,49.9595390625,34.4941940838144,NaN,NaN,NaN,NaN
4.54425082,NaN,NaN,50.3532265625,35.1107053614852,NaN,NaN
4.54468856,NaN,NaN,NaN,NaN,49.70501953125,33.9363502388374
4.62647688,49.97898046875,34.5465315615918,NaN,NaN,NaN,NaN
4.62689916,NaN,NaN,50.49040234375,35.4787833939862,NaN,NaN
4.6273552,NaN,NaN,NaN,NaN,49.7836171875,34.1481413881967
4.70910166,50.035328125,34.6982229654371,NaN,NaN,NaN,NaN
4.70952246,NaN,NaN,50.3516328125,35.1064289188147,NaN,NaN
4.70996686,NaN,NaN,NaN,NaN,49.83026171875,34.2738308725414
4.79170092,49.93569140625,34.4299947063118,NaN,NaN,NaN,NaN
4.79215642,NaN,NaN,50.33453515625,35.0605514934009,NaN,NaN
4.79258912,NaN,NaN,NaN,NaN,49.698,33.9174352398115
4.87431604,49.8936171875,34.3167282861511,NaN,NaN,NaN,NaN
4.87478268,NaN,NaN,50.3906796875,35.2112017642422,NaN,NaN
4.8752137,NaN,NaN,NaN,NaN,49.68862890625,33.8921836634827
4.956915,49.87654296875,34.2707634247155,NaN,NaN,NaN,NaN
4.95738242,NaN,NaN,50.344375,35.0869543343004,NaN,NaN
4.95782478,NaN,NaN,NaN,NaN,49.69413671875,33.907025148528
5.03950792,49.95816796875,34.4905030139531,NaN,NaN,NaN,NaN
5.03998124,NaN,NaN,50.36324609375,35.1375903503329,NaN,NaN
5.04045308,NaN,NaN,NaN,NaN,49.668703125,33.8384911704216
5.12212036,49.85309375,34.2076366658051,NaN,NaN,NaN,NaN
5.12259816,NaN,NaN,50.43655859375,35.3343067131765,NaN,NaN
5.12310674,NaN,NaN,NaN,NaN,49.79643359375,34.1826767870858
5.2047149,49.9212578125,34.3911385720166,NaN,NaN,NaN,NaN
5.20519744,NaN,NaN,50.46346484375,35.4065031276728,NaN,NaN
5.20574476,NaN,NaN,NaN,NaN,49.69962890625,33.9218245300696
5.28733886,49.91915234375,34.3854705188677,NaN,NaN,NaN,NaN
5.2878172,NaN,NaN,50.346265625,35.0920273692331,NaN,NaN
5.28837322,NaN,NaN,NaN,NaN,49.609984375,33.6802662036123
5.36993028,49.8881171875,34.3019219432316,NaN,NaN,NaN,NaN
5.37042514,NaN,NaN,50.46182421875,35.4021009072767,NaN,NaN
5.37099838,NaN,NaN,NaN,NaN,49.71930859375,33.9748538929478
5.45253522,49.862953125,34.2341787180273,NaN,NaN,NaN,NaN
5.45306592,NaN,NaN,50.42733984375,35.3095704271412,NaN,NaN
5.4536512,NaN,NaN,NaN,NaN,49.6583203125,33.8105133922298
5.53515964,49.9147109375,34.3735139763254,NaN,NaN,NaN,NaN
5.53570054,NaN,NaN,50.43253125,35.3235003102517,NaN,NaN
5.53628088,NaN,NaN,NaN,NaN,49.615578125,33.6953392579278
5.61778784,49.82051953125,34.1199448379599,NaN,NaN,NaN,NaN
5.61832624,NaN,NaN,50.36169140625,35.1334187224337,NaN,NaN
5.61892318,NaN,NaN,NaN,NaN,49.58941796875,33.6248474669006
5.70041114,49.8820078125,34.2854751248181,NaN,NaN,NaN,NaN
5.7009278,NaN,NaN,50.3112421875,34.9980504452532,NaN,NaN
5.70155926,NaN,NaN,NaN,NaN,49.71970703125,33.9759275322915
5.78301734,49.79974609375,34.0640214490068,NaN,NaN,NaN,NaN
5.78353688,NaN,NaN,50.2747265625,34.9000695970082,NaN,NaN
5.78418172,NaN,NaN,NaN,NaN,49.60655859375,33.6710350104317
5.86563884,49.7798828125,34.0105482574259,NaN,NaN,NaN,NaN
5.86615392,NaN,NaN,50.34511328125,35.0889353334787,NaN,NaN
5.8668077,NaN,NaN,NaN,NaN,49.60740625,33.673319125506
5.94827972,49.858828125,34.2230739608377,NaN,NaN,NaN,NaN
5.94877302,NaN,NaN,50.1903203125,34.6735858391051,NaN,NaN
5.94944474,NaN,NaN,NaN,NaN,49.526859375,33.4562755640633
