Time_s,DeltaT_C
15324.735,2.0870
15337.389,2.3371
15350.042,3.3373
15362.698,3.5874
15388.011,3.3376
15400.660,2.8377
15413.317,3.3379
15425.973,3.0880
15438.629,3.3381
15451.284,4.0882
15463.940,3.5883
15476.597,2.3385
15489.252,2.5886
15501.910,2.8387
15527.224,3.5889
15539.880,2.0852
15577.850,2.5725
15590.502,2.8199
15615.810,2.0647
15628.469,3.5621
15641.126,2.0595
15653.780,3.8069
15666.433,2.3043
15679.089,2.5506
15691.746,2.7955
15704.407,3.7904
15717.064,2.0354
15729.722,4.0303
15742.377,3.0252
15755.038,2.2757
15767.695,2.5264
15780.353,3.5271
15793.010,2.2779
15805.668,3.2786
15830.984,1.2800
15843.644,3.2808
15868.964,2.7822
15881.622,3.2829
15894.282,1.7837
15906.940,2.0352
15932.258,3.5395
15944.916,2.5416
15957.580,3.5437
15970.235,3.2959
15982.896,2.0504
15995.556,3.3051
16008.215,3.0592
16020.886,3.5603
16046.206,3.8124
16058.863,3.5635
16071.539,3.3145
16084.164,3.0636
16096.784,2.3110
16122.031,3.3107
16134.653,2.3141
16147.275,2.5674
16159.895,2.0708
16185.136,3.3269
16210.380,3.8254
16222.998,2.0747
16235.620,4.0739
16248.247,1.8232
16260.866,2.3225
16273.492,3.5724
16286.118,2.0734
16298.747,2.8245
16311.368,2.5756
16323.992,1.3266
16336.615,3.3277
16349.243,2.0776
16361.874,3.0771
16374.498,2.5766
16387.127,3.0762
16399.755,2.3275
16412.380,3.3296
16425.003,3.5818
16437.628,3.3339
16450.252,2.8361
16475.501,3.3403
16488.125,2.8425
16500.753,3.3449
16526.008,2.6009
16538.633,3.3540
16551.262,1.1070
16563.888,2.6100
16576.520,2.3535
16589.144,3.5923
16601.773,3.8311
16614.398,2.8327
16627.026,2.5858
16639.648,3.5888
16664.903,3.0948
16677.527,3.8470
16690.155,2.5970
16702.781,2.3470
16715.412,2.5970
16728.038,2.8471
16740.663,4.3472
16753.291,3.5972
16765.916,3.3473
16778.548,1.8474
16791.179,2.8474
16803.807,3.8475
16816.433,2.0976
16841.685,2.3477
16854.315,2.0978
16879.571,2.5979
16904.821,3.8443
16917.450,2.0780
16930.076,2.8262
16942.706,3.3265
16955.332,3.5767
16967.959,2.0769
16980.585,3.3272
16993.213,3.5774
17005.840,4.0777
17018.467,3.3279
17031.096,2.3260
17056.348,3.8189
17068.975,3.3153
17081.603,2.3118
17094.230,3.8082
17106.857,2.3133
17119.484,3.3189
17132.113,2.8239
17144.740,3.5732
17157.365,2.0725
17169.994,2.5718
17195.247,3.3203
17233.137,2.3181
17245.763,3.8174
17258.379,2.3167
17271.006,2.5660
17296.271,3.3167
17308.901,3.8192
17321.532,3.3217
17334.160,3.5743
17346.791,3.8268
17359.421,3.5794
17372.051,2.0820
17384.677,3.8345
17397.311,2.5871
17409.945,3.5897
17422.577,3.3422
17435.208,2.0948
17447.842,2.5974
17460.471,3.3499
17473.098,4.1025
17485.729,2.8551
17510.991,3.3602
17523.618,3.6098
17536.250,2.3580
17548.881,3.3562
17561.514,3.8518
17574.148,3.0972
17586.781,2.5925
17599.410,3.5879
17637.311,3.3356
17649.943,2.5899
17662.578,2.0878
17675.214,2.5797
17687.850,4.0717
17700.479,3.0707
17713.112,2.0732
17725.746,2.8257
17738.383,3.3254
17751.018,3.0747
17763.651,3.8239
17776.289,2.0710
17801.557,3.3169
17826.830,2.3233
17839.469,3.3265
17864.741,3.0829
17877.378,3.8359
17890.014,2.8388
17902.649,3.5917
17915.285,2.0867
17927.921,3.5807
17940.552,4.5750
17953.189,3.5762
17965.822,3.8273
17978.455,2.5785
18003.729,3.3307
18016.367,2.0819
18029.007,4.0830
18041.643,2.5841
18054.280,3.5853
18066.927,2.0864
18079.563,2.8375
18092.199,2.5887
18117.476,3.0863
18130.112,3.3347
18142.747,1.8331
18155.383,2.3315
18168.019,2.8308
18180.656,3.0904
18193.292,2.8377
18218.565,3.5734
18243.844,3.8143
18256.479,2.8169
18269.120,3.8201
18281.758,3.5734
18294.396,3.3266
18307.032,4.0799
18319.669,2.8331
18332.306,3.5854
18344.945,2.3374
18357.583,3.8394
18370.221,3.3413
18382.858,3.5933
18395.495,4.0946
18408.131,3.3410
18420.770,2.0874
18433.407,3.5862
18446.045,3.8396
18458.681,3.3431
18471.318,2.0965
18483.959,2.8499
18496.598,2.6033
18521.876,3.0970
18534.514,1.5931
18547.157,2.0912
18559.797,3.5893
18572.433,1.5873
18585.070,3.8354
18597.710,3.3335
18635.629,4.5778
18648.270,2.8268
18660.908,3.8264
18673.546,2.3261
18686.188,2.8257
18698.831,3.5754
18711.469,2.0750
18724.110,3.0746
18736.748,2.5743
18749.390,3.5741
18762.029,2.3244
18774.670,2.8248
18787.313,3.3251
18799.950,3.5755
18825.232,3.8273
18837.867,3.3297
18875.786,2.0867
18901.064,2.3773
18913.703,4.1643
18926.341,3.4513
18938.978,3.9884
18951.620,3.7754
18964.263,2.5625
18976.906,3.3588
18989.547,2.1864
19002.190,3.2641
19014.834,3.8425
19027.478,3.1724
