Time_s,Voltage_mV
8716.87145698,45.51449045539
8781.44099754,48.33794012666
8830.51395926,49.46684837341
8907.99754418,52.20868811011
8969.98436432,53.88821661472
9034.55403828,54.83824759722
9083.62698204,56.03840574622
9161.11063608,57.91123583913
9223.09747544,57.64408409595
9287.6672098,59.61227416992
9362.56797576,62.93270736933
9424.5549319,65.97495824099
9489.12451086,68.26091557741
9551.11136164,70.2955275774
9615.68108728,71.8645080924
9677.66795556,73.51636141539
9742.23752768,74.51615482569
9804.22446564,76.51922106743
9868.79415624,78.07286828756
9943.69485006,80.77016472816
9995.35047622,82.53094553947
10070.25114386,85.90491861105
10134.82069786,88.05628865957
10196.80725212,89.56027030945
10261.3764878,92.5165116787
10323.36294202,95.18085420132
10375.01824042,99.17508065701
10449.91856468,103.0870079994
10514.48771178,107.4262186885
10589.38791314,118.7449023128
10653.95704734,141.8276429176
10703.02956912,146.7611789703
10741.77100468,146.924495697
10793.42644216,146.2181508541
10855.412921,145.4785168171
10919.98215152,143.6416953802
10981.96866036,141.1527693272
11046.53785188,138.9960646629
11108.52428206,132.4204802513
11173.09342338,125.2960711718
11247.99366462,111.5024238825
11312.56282614,97.995698452
11426.20459326,62.5187009573
11488.19092968,81.9224640727
11514.01860088,84.00850743055
11565.67393462,84.44099873304
11627.66030118,80.81771433353
11702.56058546,72.85478711128
11754.21593264,70.64986974001
11829.11618,66.89758598804
11893.68536618,64.46382403374
11981.49942062,60.77042967081
12020.2408764,60.06168574095
12108.05504292,58.39839205146
12146.79648108,56.82842433453
12208.78287224,56.39787763357
12283.68307646,54.29796874523
12335.3384236,52.76047065854
12410.23866806,51.22521147132
12474.80785326,49.2924079299
12575.53576008,46.78555577993
12601.36344378,44.99864950776
12689.17757606,42.53626987338
12751.16403464,41.03258997202
12789.905479,40.43912515044
12877.71965638,36.96395084262
12916.46116678,35.33761575818
12991.36147508,34.77330505848
13055.9306738,32.18360245228
13130.83093462,31.45276755095
13195.40006552,28.96633930504
13244.47259802,25.2766367048
13309.04179114,24.59221892059
13383.94214196,23.38192239404
13471.7563151,22.14723825455
13510.4978597,21.73098176718
13598.31203524,20.21106891334
13662.88133966,22.06259593368
13737.78155058,22.02033996582
13802.3506718,20.55913582444
