Time_s,Sawtooth_baseline_Value
26.93833022,166.2212014198
27.02097952,166.3139164448
27.10362152,166.0861521959
27.1862556,165.8925563097
27.26888118,166.1492884159
27.3515137,166.1026030779
27.43412956,165.8252924681
27.51674238,165.1538908482
27.59936288,164.7719889879
27.68201378,163.6593192816
27.76462414,162.9743129015
27.84725886,162.8518253565
27.9298851,162.8975570202
28.0125288,162.6295298338
28.09516076,162.123799324
28.17778374,161.0781401396
28.26041696,160.1218879223
28.34306984,159.235432744
28.42569558,158.5256755352
28.50832378,158.1173241138
28.5909573,157.3717445135
28.67358678,156.8126827478
28.75621914,154.9429446459
28.83884038,154.2190909386
28.92147082,152.7873575687
29.00411886,151.3128727674
29.08674102,150.046646595
29.16938968,149.1599678993
29.25200088,148.1148153543
29.33462454,147.0729708672
29.41724294,145.3686654568
29.49985864,143.5724943876
29.58249126,141.4732784033
29.6651227,140.1805430651
29.74776242,138.9658749104
29.83039762,137.5914514065
29.91302924,134.2732608318
29.99567404,132.8877657652
30.0783231,130.1392614841
30.16095606,128.7812739611
30.24357796,126.5319138765
30.32620566,124.1965144873
30.40882138,122.7822527289
30.4914366,121.1398094893
30.5740664,118.002563715
30.65668462,115.329913795
30.739303,113.3810430765
30.82191904,111.5859597921
30.90454226,108.8179647923
30.98716982,101.5846282244
31.06978496,96.34838998318
31.152408,92.51067787409
31.2350258,89.71136808395
31.31767214,84.49123799801
31.4002926,79.70628142357
31.48294532,75.60104131699
31.56558682,67.35551357269
31.64820504,61.90758571029
31.73084828,59.3137294054
31.81346812,53.47811058164
31.89610996,45.42429372668
31.97875656,41.26954451203
32.06138126,38.63107413054
32.14401396,37.57307678461
32.22663972,35.41296720505
32.30928376,32.03246369958
32.39193358,28.91302667558
32.47458506,25.54992586374
32.5572077,23.63806776702
32.6398507,18.63337308168
32.72246532,15.60454908758
32.80510978,12.76641804725
32.88776862,11.01417746395
32.97041808,9.694889187813
33.05304566,6.856642663479
33.13569218,4.204137250781
33.21833052,1.699027023278
33.30095718,-3.250174457207
33.383594,-3.620975185186
33.46620862,-4.468751139939
33.54884726,-6.00101146847
33.63146534,-11.58559881151
33.7140809,-15.4086491093
33.7967243,-19.19910311699
33.879361,-20.67954465747
33.96197982,-24.80972744524
34.04462804,-24.97613243759
34.1272523,-27.47627720237
34.20988568,-33.69561582804
34.29251612,-41.17174446583
34.37513706,-46.49032279849
34.4577686,-52.85669863224
34.54038216,-55.49319833517
34.62304722,-58.26188623905
34.7056816,-59.52915176749
34.78831276,-61.68094277382
34.870936,-61.777561903
34.95358088,-64.97739255428
35.03619448,-67.23028421402
35.11883858,-69.57843154669
35.20145522,-70.83248347044
35.28408722,-69.81831789017
35.36670736,-72.15692847967
35.44934652,-73.79202544689
35.53197484,-76.07141137123
35.6146031,-78.24873924255
35.69721942,-79.43550497293
35.77983372,-81.34988695383
35.86246722,-82.39860087633
35.94510958,-85.12853085995
36.02772806,-85.5381116271
36.11037894,-87.76754140854
36.1930076,-88.44163268805
36.27563758,-89.27251398563
36.35826634,-89.55851942301
36.44091724,-88.14393728971
36.52353176,-87.66458928585
36.60615416,-86.93990111351
36.68878412,-86.29135787487
36.77141808,-85.66502481699
36.8540483,-83.42278748751
36.93671042,-83.96832644939
37.01935158,-83.50822329521
37.10198354,-82.78139680624
37.18459652,-81.26182854176
37.26724846,-80.8068588376
37.34986892,-80.64426481724
37.43248384,-80.02398908138
37.5151052,-79.97287809849
37.59773458,-80.43453842402
37.68035174,-79.35000211
37.76298838,-76.01173967123
37.84560368,-77.02856510878
37.92822254,-75.96247643232
38.01085554,-75.35268366337
38.0935143,-74.97362792492
38.17615722,-75.64509660006
38.25878452,-75.12951642275
38.34142078,-73.56952130795
38.4240512,-72.99526035786
38.50669568,-71.72347605228
38.5893137,-71.80834561586
38.67195814,-71.00238651037
38.7546033,-68.81337612867
38.83724922,-68.3367177844
38.91987642,-66.30551815033
39.00251428,-65.46235084534
39.08516732,-65.40706008673
39.1677842,-65.02038240433
39.25041834,-64.9334192276
39.3330466,-61.224155128
39.41567436,-58.22436511517
39.49830214,-56.9934360683
39.5809309,-51.61461606622
39.6635438,-50.24566873908
39.74620422,-47.40708321333
39.82885598,-44.49387639761
39.91147374,-43.48108172417
39.99412844,-42.12775453925
40.07675352,-38.35525736213
40.15938644,-36.10371425748
40.24201166,-35.99883243442
40.32463584,-35.484675318
40.4072473,-33.82585197687
40.48987408,-33.61948952079
40.57251708,-31.86473622918
40.65514318,-28.65144237876
40.73778108,-25.95057524741
40.82041426,-25.22256784141
40.9030361,-21.28009498119
40.98566788,-20.74139006436
41.06830938,-20.04390582442
41.15093132,-18.16064119339
41.23355856,-14.32815287262
41.31620634,-11.80439908057
41.3988448,-6.435265764594
41.48149412,-5.284629762173
41.56413194,-4.020451568067
41.64675946,-1.724132569507
41.72939044,1.704669790342
41.81202976,4.898844752461
41.89467614,8.146219886839
41.97731346,11.70934084803
42.05992576,16.10477268696
42.14256718,18.63464340568
42.22520098,23.31657707691
42.30782644,25.94801411033
42.39046118,28.12724001706
42.473091,30.12257814407
42.55572032,34.33607518673
42.63836476,37.31699287891
42.720983,40.78004509211
42.8036176,44.84545812011
42.88623886,48.82783442736
42.96887522,52.43364349008
43.05149766,55.63382804394
43.13412334,59.07808989286
43.21674628,67.18221306801
43.2993798,70.51134109497
43.3820157,75.91670751572
43.46462944,78.86828482151
43.54725428,84.05174314976
43.62989958,85.10786294937
43.71253152,86.22486889362
43.79516308,90.60863405466
43.87780636,94.99590098858
43.9604202,98.32402318716
44.04304566,100.8784174919
44.12566284,103.5665348172
44.20828906,107.0125102997
44.29091338,108.9364662766
44.37352586,112.5034987926
44.45615582,116.3505762815
44.53880814,119.9088022113
44.62143446,122.495085001
44.70406062,124.3349164724
44.78669214,126.6804337502
44.86933484,127.7390122414
44.95197318,129.7207772732
45.03458152,133.6112320423
45.11722696,136.5773081779
45.19983734,140.2758955956
45.28247294,142.6771432161
45.36509834,143.970951438
45.44772888,144.5605009794
45.53036484,146.5017050505
45.61299214,149.1281688213
45.69563008,152.410775423
45.77826396,154.2473882437
45.8608896,157.4713587761
45.94352016,158.8314622641
46.02617872,160.030156374
46.10882436,161.0489487648
46.19145102,162.5249385834
46.27408152,163.4493768215
46.35672552,164.3975228071
46.43935278,164.603844285
46.52196458,163.497403264
46.60461326,163.9785319567
46.6872568,164.2550230026
46.76989582,164.2910987139
46.85253482,164.3487364054
46.93516304,164.933308959
47.01781818,165.1282310486
47.10044384,164.3735170364
47.18308296,164.3124073744
47.26572988,163.4283959866
47.34835476,162.8692597151
47.4309686,162.9393845797
47.5136171,163.2285565138
47.59624674,163.2750034332
47.678857,163.0635857582
47.76148166,162.1741503477
47.84410632,161.013096571
47.92672946,160.1504087448
48.00937568,159.651145339
48.09201046,159.4018787146
48.17464912,159.2651307583
48.25727838,158.6804240942
48.33988744,157.136246562
48.42254812,155.3978770971
48.50519712,154.2876064777
48.58782668,153.7088155746
48.67046738,153.5565853119
48.7531076,153.4135490656
48.83571856,152.4479836226
48.918341,150.7374644279
49.00096542,149.2314189672
49.08359114,147.5133746862
49.16620896,146.0528671741
49.24884142,143.4759497643
49.3314653,142.6516324282
49.41408178,142.2153562307
49.49671496,141.0231143236
49.57933462,139.3873095512
49.66196444,136.8534862995
49.74460784,134.4115883112
49.82722478,132.7200680971
49.90985428,131.2281936407
49.9924997,130.3287446499
50.07513402,129.7238469124
50.15775544,126.5035271645
50.24039156,123.8001212478
