T_amb,T_MCU
-20.171,-15.669
-20.178,-15.719
-20.184,-15.704
-20.187,-15.743
-20.186,-15.855
-20.182,-15.835
-20.178,-15.788
-20.173,-15.757
-20.168,-15.850
-20.164,-15.814
-20.159,-15.826
-20.155,-15.791
-20.151,-15.784
-20.147,-15.812
-20.143,-15.778
-20.138,-15.882
-20.133,-15.927
-20.127,-16.093
-20.119,-16.210
-20.111,-16.168
-20.102,-16.273
-20.091,-16.233
-20.080,-16.337
-20.069,-16.433
-20.059,-16.402
-20.048,-16.442
-20.039,-16.352
-20.030,-16.337
-20.022,-16.151
-20.015,-16.100
-20.009,-16.114
-20.005,-16.023
-20.003,-16.059
-20.003,-16.038
-20.004,-16.002
-20.005,-16.029
-20.006,-16.013
-20.007,-16.073
-20.008,-16.067
-20.008,-16.254
-20.009,-16.244
-20.010,-16.153
-20.012,-16.179
-20.013,-16.153
-20.014,-16.213
-20.015,-16.174
-20.017,-16.134
-20.018,-16.176
-20.020,-16.174
-20.022,-16.139
-20.025,-16.018
-20.027,-16.006
-20.029,-16.021
-20.031,-15.961
-20.034,-15.905
-20.036,-15.718
-20.039,-15.724
-20.042,-15.709
-20.045,-15.654
-20.049,-15.606
-20.053,-15.623
-20.057,-15.686
-20.061,-15.700
-20.064,-15.628
-20.068,-15.653
-20.071,-15.714
-20.073,-15.811
-20.075,-15.809
-20.076,-15.978
-20.075,-16.020
-20.074,-16.083
-20.072,-16.088
-20.069,-16.085
-20.065,-16.043
-20.062,-16.124
-20.056,-16.125
-20.050,-16.068
-20.043,-16.079
-20.036,-16.080
-20.028,-15.968
-20.021,-15.892
-20.015,-15.850
-20.010,-15.889
-20.005,-15.947
-20.001,-15.901
-19.997,-15.919
-19.994,-15.923
-19.992,-16.007
-19.991,-15.976
-19.991,-15.985
-19.992,-15.957
-19.992,-16.007
-19.993,-16.069
-19.994,-16.047
-19.994,-15.997
-19.996,-16.088
-19.997,-16.084
-19.996,-16.075
-19.996,-16.041
-19.997,-16.132
-19.997,-16.201
-19.997,-16.278
-19.996,-16.265
-19.996,-16.232
-19.996,-16.264
-19.995,-16.256
-19.994,-16.218
-19.992,-16.293
-19.993,-16.407
-19.993,-16.393
-19.992,-16.327
-19.992,-16.320
-19.992,-16.243
-19.992,-16.247
-19.992,-16.210
-19.993,-16.196
-19.994,-16.178
-19.994,-16.292
-19.995,-16.250
-19.997,-16.169
-19.999,-16.178
-20.001,-16.271
-20.004,-16.252
-20.006,-16.321
-20.009,-16.331
-20.011,-16.388
-20.013,-16.460
-20.013,-16.423
-20.013,-16.377
-20.013,-16.293
-20.011,-16.335
-20.008,-16.312
-20.006,-16.277
-20.004,-16.260
