Time_s,Voltage_mV,CmdDisp_um,CmdStrain_pct
26.60743656,158.6495041847,-2.93118454438606,-0.00977061514795353
26.6900786,158.3771854639,-3.09188057418418,-0.0103062685806139
26.77271588,157.732218504,-3.25256734824391,-0.010841891160813
26.85532308,157.0194363594,-3.4131956322594,-0.011377318774198
26.93794586,156.2387943268,-3.57385421131775,-0.0119128473710592
27.02059096,155.4725021124,-3.7345561912334,-0.0124485206374447
27.10325356,155.0512909889,-3.895292199599,-0.0129843073319967
27.18588472,154.578641057,-4.05596707342367,-0.0135198902447456
27.26850154,153.0645042658,-4.21661406336421,-0.014055380211214
27.3511225,152.82510221,-4.37726910346377,-0.0145908970115459
27.43376504,152.4399966002,-4.53796610550332,-0.0151265536850111
27.51638998,150.6061404943,-4.69862888464463,-0.0156620962821488
27.59900708,149.2015123367,-4.85927641904037,-0.0161975880634679
27.68164472,148.0589359999,-5.01996389311394,-0.0167332129770465
27.76426752,147.0462977886,-5.18062251106194,-0.0172687417035398
27.8469047,146.5206295252,-5.34130909067339,-0.017804363635578
27.92952102,145.6902176142,-5.5019551083725,-0.0183398503612417
28.0121715,145.0529545546,-5.66266754960592,-0.0188755584986864
28.0948061,143.7572091818,-5.8233491124516,-0.019411163708172
28.17744368,141.3570195436,-5.98403646985619,-0.019946788232854
28.26008358,140.1444375515,-6.144728338461,-0.02048242779487
28.34271818,138.9673650265,-6.30540990130668,-0.0210180330043556
28.42533944,137.7241611481,-6.4660655247511,-0.0215535517491703
28.50795886,136.8529051542,-6.62671757034706,-0.0220890585678235
28.59060218,135.3368461132,-6.78741608908324,-0.0226247202969441
28.6732345,133.179962635,-6.94809321850801,-0.02316031072836
28.75586088,131.4475685358,-7.10875879770464,-0.0236958626590155
28.8384855,130.0825923681,-7.26942095461145,-0.0242314031820382
28.92111188,128.3872574568,-7.43008653380807,-0.0247669551126936
29.00372144,126.6848146915,-7.59071940680309,-0.025302398022677
29.08636594,123.9755377173,-7.75142022002903,-0.0258380674000968
29.16900126,123.3195513487,-7.91210318290238,-0.0263736772763413
29.25160798,121.410921216,-8.07273053356609,-0.0269091017785536
29.33422836,118.8093051314,-8.23338444586559,-0.027444614819552
29.41686384,117.1081662178,-8.39406771985619,-0.027980225732854
29.4995034,115.0001063943,-8.55475892733683,-0.0285158630911228
29.582124,112.5516071916,-8.71541326742256,-0.0290513775580752
29.6647562,110.8020171523,-8.8760901635094,-0.029586967211698
29.74740288,109.6448600292,-9.03679521570796,-0.0301226507190265
29.83002174,108.7583303452,-9.19744617239352,-0.0306581539079784
29.9126489,105.7629957795,-9.35811326828678,-0.0311937108942892
29.99527768,101.086512208,-9.51878351424225,-0.0317292783808075
30.07791568,95.6025570631,-9.67947168832964,-0.0322649056277655
30.16053228,93.05054694414,-9.84011825048396,-0.0328003941682799
30.24318036,89.76699411869,-10.0008260249585,-0.0333360867498617
30.32580972,86.98232471943,-10.161497398714,-0.0338716579957135
30.4084443,83.1835269928,-10.3221789226701,-0.0344072630755669
30.49107286,77.81104743481,-10.4828487408393,-0.0349428291361311
30.57369066,74.05549287796,-10.6434976363731,-0.0354783254545769
30.65632284,67.67474114895,-10.8041744935702,-0.0360139149785675
30.73895592,63.52365761995,-10.964853100802,-0.0365495103360066
30.8216116,57.73534625769,-11.1255756533462,-0.0370852521778208
30.90424208,52.25693061948,-11.2862492049226,-0.0376208306830752
30.98688818,44.0653078258,-11.4469531293211,-0.0381565104310702
