Time_s,Voltage_mV
24587.9928208,173.7539470196
24750.70788816,173.8570183516
24815.27732512,173.5962629318
24965.0785106,173.6544370651
25156.20402702,173.4884083271
25218.19092922,173.5893785954
25344.74715658,173.5560148954
25559.11789064,173.6704409122
25623.6874436,173.874348402
25724.415976,173.6156493425
25912.9591791,173.4504103661
26003.35675702,173.4627187252
26166.07238202,173.2220053673
26305.54274252,173.415184021
26470.84092064,173.411667347
26545.741657,173.6409217119
26736.86747746,173.5198050737
26749.78134654,173.4777390957
26938.32474334,173.2695549726
27002.89420592,173.1349527836
27165.61016516,173.2431352139
27330.9087254,173.1418222189
27418.72352548,172.9667633772
27584.02221204,172.8658229113
27710.57900654,172.8885620832
27772.56586958,172.663807869
28025.6788876,172.5900024176
28064.42061652,172.6545393467
28278.79188354,172.5665181875
28366.60676374,172.7274358273
28531.9051456,172.8784292936
28606.80593874,172.9538291693
28681.706529,172.6654618979
28821.1767705,172.7039068937
28996.80587656,172.7187335491
29074.28925826,172.4902689457
29288.6597814,172.5691258907
29337.7325067,172.5783199072
29541.7720575,172.9175448418
29590.84497656,173.0110198259
29781.97079996,172.8721410036
29895.61319266,172.588005662
30071.24223154,172.6217716932
30146.14303724,172.686368227
30324.35528356,172.7997213602
30425.0837393,172.6216077805
30538.72627848,172.6354658604
30740.18366804,172.6743578911
30817.66731376,172.6288497448
30944.22394298,172.7233380079
31081.11160164,173.0133742094
31184.4227659,172.9785948992
31372.96586228,172.8848069906
31424.62149176,172.9081124067
31638.99221592,172.8796958923
31664.82006656,172.8895455599
31814.62128368,172.8819012642
31954.0913929,172.7298349142
32106.47532214,172.5628972054
32271.773336,172.2172945738
32333.7600783,172.3666191101
32460.31619962,172.2880452871
32635.9453304,172.3120361567
32713.42885228,172.0667183399
32927.79951912,172.199383378
33041.44201878,172.3764687777
33191.2433215,172.3680794239
33317.79964418,172.4976450205
33444.35594338,172.6185381413
33532.17050008,172.9787737131
33671.64067466,173.0467230082
33733.62736352,173.1635183096
33924.75341054,173.1703132391
34012.56785638,173.2592433691
34188.19669532,173.0339974165
34278.59386246,172.9977279902
34392.236014,172.9198992252
34492.96437414,172.9766875505
34642.76563574,172.7351546288
34820.97725424,172.8046536446
34882.96393454,172.8682518005
35087.00344392,172.6466715336
35174.81790912,172.8046238422
35262.63240736,172.363653779
35515.74471796,172.3618358374
35642.30092784,173.0834394693
35730.11547958,173.066213727
35781.77118306,172.9606389999
35918.65850884,172.7811098099
36083.9564166,172.6629883051
36262.16802808,172.3102331161
36349.98241862,172.2870767117
36502.36627308,172.6743429899
36564.35293878,172.7160811424
36778.72354428,172.841951251
36892.36568464,172.694683075
36956.93513532,172.861546278
37070.5774192,172.5136190653
37222.96129422,172.0913797617
37336.60350894,171.8852818012
37574.21909094,172.3616272211
37587.13297794,172.2197830677
37827.331244,172.5948750973
37878.98676782,172.7345436811
38041.70175374,172.7919727564
38168.2577557,172.9261279106
38268.98602322,172.8481352329
38369.7143117,172.7951169014
38571.17086062,172.8803813457
38684.81296688,172.8754937649
38837.19677514,172.8680878878
38925.01117304,172.8107780218
39012.82553838,172.5351661444
39152.29545738,171.8720942736
39304.67929322,171.8031466007
39457.06311424,171.7758029699
39645.60570524,171.7927008867
39658.51960022,171.8163639307
39797.98950854,171.8843281269
39911.63169514,171.6911047697
40074.3467928,171.6684550047
40200.9028711,171.7301011086
40392.02849694,171.8700230122
40541.82970494,171.7616468668
40619.31310368,171.8361824751
40782.02816234,171.8599200249
40859.51158242,171.8133091927
40947.32607192,171.7561632395
41148.78279318,171.6796010733
41288.25284554,171.5601980686
41339.90837096,171.6641038656
41489.70956806,171.6111898422
41680.83523994,171.7218011618
41719.57688262,171.8248277903
41921.03358884,171.7780828476
42060.50357738,171.8215346336
42148.31808136,171.8439608812
42261.96029216,171.8758195639
42375.60256098,171.8364804983
42589.9731979,171.8814969063
42628.71490248,171.9136238098
42752.68828772,171.7828214169
43005.80048222,171.776086092
43106.52883708,171.8809604645
43171.09831636,171.974003315
43372.55504594,172.1787005663
43447.45552746,172.2169071436
43574.01169738,172.1708327532
43775.46841928,172.0591932535
43840.03789002,172.0595657825
44002.7528675,172.0288693905
44142.22291042,172.0000505447
44180.96458066,172.008767724
44421.16303246,171.9474047422
44521.89147946,171.989902854
44573.54699016,172.0583587885
44710.4341253,171.8261986971
44927.38728656,171.851426363
45041.02956612,171.8215495348
45115.930163,171.8165874481
45281.22807576,171.8070805073
45407.78422252,171.8493998051
45495.59874536,171.7981547117
45622.15488534,171.7663109303
45823.61176638,171.7406362295
45888.18128796,171.8590408564
46001.82344388,171.8449741602
46190.36638828,172.0266193151
46329.83635038,172.1315085888
46368.578063,172.0492988825
46508.04807414,171.9896793365
46735.33271816,171.8610525131
46810.23333976,171.8632280827
46898.04780506,171.8343943357
47112.41849626,171.8210279942
47164.07408058,171.7881262302
47352.61681186,171.8528568745
47417.18627214,171.758055687
47618.64310282,171.8394160271
47781.35825966,171.790137887
47845.92781402,171.8330234289
48021.55676938,172.0026731491
48109.37129276,171.9816476107
48300.49700402,171.9169318676
48401.22546844,171.9761490822
48489.03993172,171.8259602785
48576.85443436,171.9042956829
48804.13919276,171.9260364771
48904.8675999,172.0087081194
49070.16561488,172.1335351467
49196.72181448,172.1915155649
49209.63571782,172.1268445253
49398.17881236,171.9183772802
49524.73502324,172.0563173294
49700.364238,171.9417870045
49752.01984872,171.9415932894
49891.48990754,171.932131052
50105.86049504,171.8687713146
50167.84715622,171.908095479
50294.40330652,171.8472838402
50420.95957658,171.9235181808
50534.60183122,171.9248592854
50725.72746072,171.8486696482
50852.2838004,171.9202250242
50991.75391726,171.8166768551
51066.65456422,171.7182546854
51219.03865222,171.6463714838
51394.667754,171.7760115862
51459.2372969,171.5976148844
51660.69418724,171.5770661831
51761.4226346,171.7333644629
51887.97886762,171.7515289783
51962.8796285,171.8276143074
52177.2504166,171.9127297401
52228.9059329,171.9066202641
52404.53488056,171.7889159918
52556.91887094,171.881839633
52582.74666928,171.8658655882
52696.3891161,171.7717647552
52936.58776722,171.7996150255
52972.74669856,171.753436327
53125.13077272,171.6229021549
53290.4288188,171.6893166304
53404.0710616,171.8434095383
53553.87229824,171.7614978552
53680.42851836,171.8091517687
53732.08411218,171.8022227287
53946.45481324,171.8056052923
53998.11043116,171.8219071627
54160.82553894,171.7188954353
54351.95134606,171.8660444021
54465.59360146,171.8508452177
54540.4941668,171.9442456961
54667.05035996,171.9891428947
54806.52043518,171.924829483
