t_s,t_h,V
14788.846,4.108013,-0.078353498
14849.115,4.124754,-0.077571504
14908.026,4.141118,-0.076719105
14966.937,4.157483,-0.075133018
15030.215,4.175060,-0.074225038
15093.492,4.192637,-0.072593093
15152.403,4.209001,-0.071708478
15211.314,4.225365,-0.069596149
15270.225,4.241729,-0.068288729
15330.517,4.258477,-0.067347065
15390.875,4.275243,-0.065703414
15449.786,4.291607,-0.065115444
15508.452,4.307903,-0.062505037
15568.833,4.324676,-0.058657166
15629.102,4.341417,-0.054380700
15688.013,4.357781,-0.052249152
15746.924,4.374146,-0.049441997
15808.910,4.391364,-0.048312135
15872.187,4.408941,-0.045377374
15932.635,4.425732,-0.044074722
15991.301,4.442028,-0.041696638
16050.212,4.458392,-0.036173087
16109.799,4.474944,-0.028209362
16170.493,4.491804,-0.022136455
16229.896,4.508305,-0.019772572
16289.299,4.524805,-0.018264752
16349.994,4.541665,-0.014886539
16410.688,4.558524,-0.008414885
16470.091,4.575025,-0.004922281
16529.494,4.591526,-0.000114438
16590.188,4.608386,0.000919387
16650.883,4.625245,0.003044084
16710.286,4.641746,0.004217329
16769.689,4.658247,0.004586912
16829.092,4.674748,0.005591063
16889.787,4.691607,0.007178739
16950.481,4.708467,0.008290175
17009.884,4.724968,0.009445894
17069.287,4.741469,0.009994771
17129.982,4.758328,0.011387979
17190.676,4.775188,0.012268849
17250.079,4.791689,0.012643252
17309.482,4.808189,0.013556208
17370.176,4.825049,0.014813890
17430.871,4.841908,0.016005009
17490.274,4.858409,0.017174810
17549.677,4.874910,0.017970340
17609.080,4.891411,0.018715587
17669.774,4.908270,0.019977040
17730.468,4.925130,0.021058416
17789.871,4.941631,0.021954292
17849.274,4.958132,0.022692651
17909.969,4.974991,0.024631532
17970.663,4.991851,0.025882784
18030.066,5.008352,0.026561346
18089.469,5.024853,0.028194461
18150.164,5.041712,0.030015166
18210.858,5.058572,0.032767039
18272.598,5.075722,0.034724586
18331.509,5.092086,0.036591738
18390.420,5.108450,0.039484702
18450.701,5.125195,0.042608455
18511.071,5.141964,0.045758534
18569.736,5.158260,0.049572922
18628.647,5.174624,0.051835336
18689.017,5.191394,0.055193901
18749.298,5.208138,0.058028597
18808.209,5.224502,0.061552744
18867.120,5.240867,0.065604314
18927.569,5.257658,0.070509315
18990.846,5.275235,0.074143313
19052.585,5.292385,0.078672901
19111.497,5.308749,0.082820699
19170.408,5.325113,0.087239429
19230.688,5.341858,0.090410907
19291.058,5.358627,0.094774343
19349.969,5.374991,0.098255761
19408.880,5.391356,0.104267649
19469.005,5.408057,0.110200696
19529.285,5.424801,0.112617433
19588.196,5.441166,0.117682628
19647.107,5.457530,0.122297928
19707.556,5.474321,0.126266912
19770.833,5.491898,0.136599392
19832.819,5.509116,0.141492382
19891.730,5.525480,0.149038494
19950.395,5.541776,0.156268284
20010.676,5.558521,0.162387632
20071.046,5.575291,0.167266458
20129.957,5.591655,0.169464290
20188.868,5.608019,0.173185319
20249.227,5.624785,0.176286869
20309.519,5.641533,0.178502828
20368.184,5.657829,0.181308985
20427.095,5.674193,0.183886096
20487.544,5.690984,0.185140066
20550.821,5.708561,0.187378898
20612.807,5.725780,0.190629795
20671.718,5.742144,0.194106802
20730.629,5.758508,0.197871909
20790.899,5.775250,0.199865051
20851.034,5.791954,0.201608405
20909.945,5.808318,0.203949422
20968.857,5.824682,0.205066830
21029.216,5.841449,0.207524583
21089.507,5.858197,0.210350379
21148.419,5.874561,0.212789834
21207.330,5.890925,0.216174588
21267.532,5.907648,0.220035382
21330.809,5.925225,0.224208713
21392.795,5.942443,0.225140035
21451.706,5.958807,0.229909003
21510.617,5.975172,0.234799698
21570.887,5.991913,0.244536854
21631.268,6.008686,0.246094063
21690.179,6.025050,0.246931106
21748.844,6.041346,0.247707009
21809.203,6.058112,0.248276539
21869.495,6.074860,0.249286845
21928.406,6.091224,0.249894902
21987.318,6.107588,0.249861717
22047.755,6.124376,0.249239653
22109.506,6.141529,0.249508046
22171.492,6.158748,0.248669840
22231.694,6.175471,0.246641815
22291.942,6.192206,0.244788900
22352.346,6.208985,0.243701234
22411.257,6.225349,0.242594570
22470.168,6.241713,0.241225660
22529.079,6.258077,0.239674553
22589.427,6.274841,0.239391565
22649.484,6.291523,0.238962486
22708.395,6.307888,0.236554459
22767.306,6.324252,0.235697195
22827.744,6.341040,0.234997645
22889.495,6.358193,0.233609445
22951.480,6.375411,0.232639194
23011.929,6.392202,0.231736809
23072.165,6.408935,0.229916818
23132.334,6.425648,0.228929952
23191.245,6.442012,0.227522984
23250.156,6.458377,0.226202607
23309.067,6.474741,0.225231588
23369.415,6.491504,0.224496558
23429.718,6.508255,0.223368004
23488.629,6.524619,0.222015902
23547.294,6.540915,0.221130610
23607.731,6.557703,0.220512159
23669.482,6.574856,0.218999878
23731.468,6.592074,0.218389817
23791.916,6.608866,0.217246816
23852.152,6.625598,0.215920061
23912.567,6.642380,0.215170145
23971.478,6.658744,0.214024171
24030.144,6.675040,0.212320760
24089.055,6.691404,0.211314797
24149.402,6.708167,0.209880710
24209.705,6.724918,0.208458900
24268.617,6.741282,0.207827926
24327.528,6.757647,0.206663176
24387.954,6.774432,0.204715125
24449.470,6.791519,0.203649372
24511.456,6.808738,0.202919357
24571.904,6.825529,0.202425972
24632.140,6.842261,0.200241283
24692.555,6.859043,0.198485732
24751.467,6.875407,0.198421657
24810.378,6.891772,0.198499978
24869.289,6.908136,0.196482599
24929.391,6.924831,0.195729770
24989.694,6.941582,0.194236964
25048.605,6.957946,0.191272616
25107.516,6.974310,0.190411136
25167.942,6.991095,0.187899306
25228.167,7.007824,0.185555786
25290.153,7.025042,0.184056833
25352.139,7.042261,0.182319060
25412.363,7.058990,0.177444056
25472.544,7.075707,0.173059955
25531.455,7.092071,0.169404209
25590.366,7.108435,0.165039435
25649.277,7.124799,0.159518287
25709.614,7.141559,0.155535251
25769.928,7.158313,0.147901535
25828.839,7.174678,0.143336728
25887.504,7.190973,0.137765929
25947.930,7.207758,0.132574871
26008.155,7.224488,0.128636822
26070.141,7.241706,0.124822900
26132.127,7.258924,0.122089252
26192.352,7.275653,0.118205324
26252.778,7.292438,0.114395238
26311.689,7.308802,0.112114638
26370.354,7.325098,0.107760794
26429.265,7.341462,0.106085189
26489.602,7.358223,0.102880131
26549.916,7.374977,0.100893594
26608.827,7.391341,0.097672671
26667.738,7.407705,0.094742142
26728.153,7.424487,0.092450120
26788.143,7.441151,0.089117855
26850.129,7.458369,0.085292153
26912.115,7.475587,0.082880095
26972.339,7.492317,0.080344837
27032.766,7.509102,0.076286376
27091.677,7.525466,0.074558496
27150.588,7.541830,0.073142730
27209.499,7.558194,0.070808135
27269.589,7.574886,0.068530049
27329.904,7.591640,0.066474661
27388.815,7.608004,0.064375706
27447.726,7.624368,0.061647389
27508.141,7.641150,0.059656205
27568.377,7.657882,0.058195837
27628.825,7.674674,0.056448217
27690.811,7.691892,0.054273849
27752.327,7.708980,0.052118037
27812.753,7.725765,0.050371822
27871.664,7.742129,0.047693983
27930.575,7.758493,0.045480277
27989.486,7.774857,0.044451252
28049.812,7.791614,0.041652108
28110.137,7.808371,0.034955628
28169.909,7.824975,0.028875496
28229.312,7.841476,0.020503281
28290.007,7.858335,0.006132046
28350.701,7.875195,-0.001994846
28410.104,7.891696,-0.014897870
28469.507,7.908196,-0.023436759
28530.201,7.925056,-0.029110686
28590.896,7.941916,-0.033655565
28651.898,7.958861,-0.040209111
28710.563,7.975156,-0.046018869
28769.474,7.991521,-0.053515419
28829.799,8.008278,-0.056915790
28890.125,8.025035,-0.058413431
28949.036,8.041399,-0.059646767
29007.947,8.057763,-0.060911816
29068.351,8.074542,-0.060948143
29128.352,8.091209,-0.060465593
29188.800,8.108000,-0.059181210
29250.786,8.125218,-0.058285458
29312.537,8.142371,-0.057195526
29372.974,8.159160,-0.056777287
29431.885,8.175524,-0.056245483
29490.797,8.191888,-0.055292260
29549.708,8.208252,-0.054460369
29609.787,8.224941,-0.052905055
29670.113,8.241698,-0.049866315
29729.024,8.258062,-0.048000582
29787.935,8.274426,-0.046218079
29848.339,8.291205,-0.044161037
29908.586,8.307941,-0.043244049
29967.497,8.324305,-0.041657370
30029.483,8.341523,-0.040105771
30092.760,8.359100,-0.038667822
30152.962,8.375823,-0.037501976
30211.874,8.392187,-0.036009606
30270.785,8.408551,-0.032407816
30329.081,8.424745,-0.028821370
30389.775,8.441604,-0.027859739
30450.470,8.458464,-0.024024742
30509.873,8.474965,-0.022421241
30569.276,8.491466,-0.018988067
30629.971,8.508325,-0.016377128
30690.665,8.525185,-0.015046014
30750.068,8.541686,-0.014431125
30809.471,8.558186,-0.012061397
30870.166,8.575046,-0.006933544
30930.860,8.591906,-0.004731542
30990.264,8.608407,-0.002597249
31049.667,8.624907,0.000331563
31109.070,8.641408,0.009637477
31169.764,8.658268,0.015579223
31230.459,8.675127,0.019698141
31289.862,8.691628,0.024085945
31349.265,8.708129,0.025527600
31409.960,8.724989,0.027159746
31470.654,8.741848,0.031356376
31527.475,8.757632,0.036392398
31589.460,8.774850,0.038842790
31652.738,8.792427,0.038948216
31713.186,8.809218,0.039692409
31772.097,8.825583,0.042127483
31831.009,8.841947,0.043948710
31889.920,8.858311,0.044906445
31949.922,8.874978,0.045775063
32010.325,8.891757,0.046778902
32069.236,8.908121,0.047857128
32128.147,8.924485,0.048569743
32188.540,8.941261,0.049960144
32248.798,8.958000,0.050786790
32307.710,8.974364,0.051486440
32368.158,8.991155,0.052444136
32431.435,9.008732,0.053683300
32493.175,9.025882,0.055846944
32552.086,9.042246,0.058209177
32610.998,9.058610,0.060306855
32669.909,9.074975,0.062524579
32730.212,9.091726,0.064007878
32790.560,9.108489,0.065858021
32849.471,9.124853,0.068062812
32908.136,9.141149,0.069811769
32968.529,9.157925,0.072138954
33028.787,9.174663,0.074381828
33087.699,9.191027,0.077551045
33148.147,9.207819,0.080703992
33211.424,9.225396,0.084977865
33273.410,9.242614,0.087566510
33332.321,9.258978,0.089765728
33390.986,9.275274,0.093516983
33449.898,9.291638,0.096715376
33510.201,9.308389,0.100697227
33570.549,9.325152,0.105642393
33629.460,9.341517,0.108926065
33688.371,9.357881,0.112490244
33748.752,9.374653,0.116990846
33809.022,9.391395,0.120795585
33867.687,9.407691,0.123325899
33928.136,9.424482,0.128296778
33991.413,9.442059,0.132165760
34053.399,9.459277,0.135486469
34112.310,9.475642,0.139595345
34171.221,9.492006,0.145062536
34230.132,9.508370,0.149241045
34290.424,9.525118,0.152405560
34350.537,9.541816,0.156866074
34409.448,9.558180,0.161744341
34468.360,9.574544,0.165792689
34528.741,9.591317,0.172828779
34589.011,9.608059,0.177394122
34647.922,9.624423,0.183346152
34706.833,9.640787,0.190454647
34770.110,9.658364,0.194864474
34833.387,9.675941,0.202751517
34892.299,9.692305,0.206633389
34951.210,9.708669,0.209232986
35010.121,9.725034,0.212412909
35070.413,9.741781,0.214075208
35130.772,9.758548,0.217240438
35189.683,9.774912,0.218991041
35248.348,9.791208,0.220505238
35308.730,9.807981,0.221448392
35369.000,9.824722,0.222903758
35427.911,9.841086,0.225891203
35486.822,9.857451,0.229012489
35548.808,9.874669,0.232950389
35612.085,9.892246,0.238369256
35672.534,9.909037,0.241072267
35731.445,9.925401,0.245681927
35791.468,9.942075,0.254411727
35851.850,9.958847,0.255915046
35910.761,9.975211,0.258152902
35969.672,9.991576,0.261274636
36028.583,10.007940,0.263890833
36088.954,10.024709,0.263796419
36149.883,10.041634,0.264036164
36207.900,10.057750,0.263732314
36266.811,10.074114,0.263485074
36328.797,10.091332,0.263828307
36392.074,10.108910,0.263057232
36452.523,10.125701,0.263012230
36511.434,10.142065,0.263048291
36571.692,10.158803,0.262910783
36632.085,10.175579,0.263257772
36690.750,10.191875,0.262744248
36749.661,10.208239,0.262344718
36808.573,10.224604,0.262093872
36868.943,10.241373,0.261585683
36929.224,10.258118,0.259802103
36988.135,10.274482,0.256232023
37047.046,10.290846,0.254360169
37108.786,10.307996,0.253459960
37172.063,10.325573,0.251835674
37232.512,10.342364,0.250498772
37291.423,10.358729,0.249190599
37351.681,10.375467,0.247694641
37412.074,10.392243,0.245962307
37470.985,10.408607,0.244515315
37529.896,10.424971,0.243219644
37588.562,10.441267,0.242494315
37648.932,10.458037,0.241482489
37709.213,10.474781,0.240289494
37768.124,10.491146,0.239010021
37827.035,10.507510,0.238335818
37887.484,10.524301,0.236297473
37950.761,10.541878,0.234412700
38012.747,10.559096,0.233160749
38071.412,10.575392,0.231702983
38131.670,10.592131,0.229767784
38192.063,10.608906,0.228987202
38250.974,10.625271,0.227660805
38309.886,10.641635,0.225894690
38368.797,10.657999,0.224860013
38429.156,10.674766,0.223096564
38489.202,10.691445,0.220827624
38548.113,10.707809,0.219732955
38607.024,10.724173,0.218159169
38667.473,10.740965,0.216841593
38730.750,10.758542,0.214849770
38792.736,10.775760,0.213382110
38851.647,10.792124,0.212356776
38911.895,10.808860,0.210868493
38972.053,10.825570,0.208098426
39030.964,10.841934,0.206912607
39089.875,10.858299,0.206409693
39148.786,10.874663,0.204569906
39209.145,10.891429,0.201942630
39269.438,10.908177,0.201085389
39328.349,10.924541,0.200585634
39387.014,10.940837,0.199754775
39447.463,10.957629,0.198355213
39510.740,10.975206,0.196367621
39572.726,10.992424,0.193707690
39631.637,11.008788,0.190680757
39691.884,11.025523,0.186299376
39752.288,11.042302,0.180911750
39811.200,11.058667,0.178178251
39870.111,11.075031,0.172898412
39928.776,11.091327,0.166746795
39989.135,11.108093,0.161814779
40049.427,11.124841,0.158806875
40108.338,11.141205,0.152106375
40167.250,11.157569,0.147547692
40227.687,11.174358,0.144160859
40289.438,11.191511,0.138491631
40351.424,11.208729,0.133370295
40411.627,11.225452,0.129133254
40471.874,11.242187,0.126454137
40532.278,11.258966,0.122638941
40591.189,11.275330,0.119976021
40650.100,11.291695,0.118085824
40709.011,11.308059,0.115279980
40769.359,11.324822,0.112183414
40829.417,11.341505,0.109017521
40888.328,11.357869,0.107762575
40947.239,11.374233,0.104581162
41007.676,11.391021,0.102926176
41069.427,11.408174,0.100052036
41131.413,11.425393,0.097785991
41191.862,11.442184,0.093761727
41252.098,11.458916,0.090394992
41312.513,11.475698,0.087925114
41371.178,11.491994,0.085232638
41430.090,11.508358,0.082241587
41489.001,11.524722,0.078996569
41549.349,11.541486,0.077526603
41609.652,11.558237,0.075434066
41668.563,11.574601,0.073768444
41727.475,11.590965,0.071201198
41787.666,11.607685,0.068685647
41849.417,11.624838,0.065171141
41911.403,11.642056,0.063839518
41971.852,11.658848,0.061791115
42032.088,11.675580,0.060970061
42092.503,11.692362,0.057884593
42151.414,11.708726,0.055695504
42210.326,11.725090,0.054861568
42268.991,11.741386,0.053359412
42329.339,11.758150,0.050657200
42389.642,11.774901,0.047866765
42448.554,11.791265,0.042281847
42509.310,11.808142,0.036664207
42570.004,11.825001,0.026379105
42630.699,11.841861,0.009252325
42690.102,11.858362,0.001470561
42749.505,11.874863,-0.003641662
42810.200,11.891722,-0.015440273
42870.895,11.908582,-0.022393670
42930.298,11.925083,-0.030990098
42990.316,11.941754,-0.036742937
43049.227,11.958119,-0.043287084
43109.564,11.974879,-0.048296073
43169.878,11.991633,-0.053535473
43228.544,12.007929,-0.058557920
43287.455,12.024293,-0.060882859
43347.881,12.041078,-0.061964162
43408.106,12.057807,-0.062119994
43470.092,12.075026,-0.061982740
43532.078,12.092244,-0.063086241
43592.303,12.108973,-0.062821876
43652.729,12.125758,-0.061853856
43711.395,12.142054,-0.061705846
43770.306,12.158418,-0.060803838
43829.217,12.174783,-0.060096912
43889.554,12.191543,-0.058670638
43949.868,12.208297,-0.057206254
44008.780,12.224661,-0.055862140
44067.691,12.241025,-0.054975394
44128.106,12.257807,-0.053200988
44188.096,12.274471,-0.051599618
44250.082,12.291689,-0.050221130
44312.068,12.308908,-0.050579928
44372.293,12.325637,-0.049115703
44432.719,12.342422,-0.047331486
44491.630,12.358786,-0.046934489
44550.541,12.375150,-0.045306671
44609.452,12.391515,-0.043906685
44669.543,12.408206,-0.042371128
44729.858,12.424960,-0.040296629
44788.769,12.441325,-0.037815981
44847.680,12.457689,-0.036160335
44908.095,12.474471,-0.035477187
44970.668,12.491852,-0.033450015
45030.071,12.508353,-0.031181203
45089.474,12.524854,-0.027141757
45150.169,12.541714,-0.024465361
45210.863,12.558573,-0.021757944
45270.266,12.575074,-0.018605925
45329.670,12.591575,-0.016970461
45389.073,12.608076,-0.015860977
45449.767,12.624935,-0.014169600
45510.462,12.641795,-0.011821630
45569.865,12.658296,-0.007600353
45629.268,12.674797,-0.004152409
45689.963,12.691656,0.000970087
45750.658,12.708516,0.008127544
45810.061,12.725017,0.009585261
45869.464,12.741518,0.011959829
45930.158,12.758377,0.019543009
45990.853,12.775237,0.025591604
46050.256,12.791738,0.027192758
46109.660,12.808239,0.031160440
46169.432,12.824842,0.034275107
46229.757,12.841599,0.035955478
46290.083,12.858356,0.038656719
46348.994,12.874721,0.039938018
46407.906,12.891085,0.041351985
46468.309,12.907864,0.041964218
46528.557,12.924599,0.043028828
46587.468,12.940963,0.043741893
46649.454,12.958182,0.045295950
46712.497,12.975694,0.046346115
46772.934,12.992482,0.047264986
46831.845,13.008846,0.049213380
46890.757,13.025210,0.050932404
46949.668,13.041574,0.052523725
47009.983,13.058328,0.054713655
47070.319,13.075089,0.057021834
47128.985,13.091385,0.058495600
47187.896,13.107749,0.060060434
47248.300,13.124528,0.063258607
47308.547,13.141263,0.065801330
47367.459,13.157627,0.067741714
47429.445,13.174846,0.070002303
47492.722,13.192423,0.073409032
47553.170,13.209214,0.077252738
47611.059,13.225294,0.081187040
47670.747,13.241874,0.083702587
47729.658,13.258238,0.087436013
47789.973,13.274992,0.092444774
47850.310,13.291753,0.096045762
47909.221,13.308117,0.099693552
47968.132,13.324481,0.103906013
48028.525,13.341257,0.106563125
48088.538,13.357927,0.111367479
48147.449,13.374291,0.114761963
48209.435,13.391510,0.116992697
48272.713,13.409087,0.123091165
48333.161,13.425878,0.126885459
48392.072,13.442242,0.132039070
48450.984,13.458607,0.135725692
48509.895,13.474971,0.139044836
48569.963,13.491656,0.143319122
48630.300,13.508417,0.146981001
48689.211,13.524781,0.150015727
48748.122,13.541145,0.153148964
48808.515,13.557921,0.158546351
48868.774,13.574659,0.164840400
48927.685,13.591024,0.170620993
48989.425,13.608174,0.175500616
49052.702,13.625751,0.184574433
49113.151,13.642542,0.189966008
49172.062,13.658906,0.194837034
49230.973,13.675270,0.197423115
49289.884,13.691634,0.202067554
49350.187,13.708385,0.203905746
49410.535,13.725149,0.205983132
49469.200,13.741444,0.207772851
49528.111,13.757809,0.209710211
49588.504,13.774584,0.211722367
49648.762,13.791323,0.215175986
49707.673,13.807687,0.218737885
49768.121,13.824478,0.221651964
49831.398,13.842055,0.226124495
49893.384,13.859273,0.228621617
49952.295,13.875637,0.233752310
50010.960,13.891933,0.238970041
50069.871,13.908297,0.245734021
50130.174,13.925048,0.248381756
50190.522,13.941812,0.249314696
50249.433,13.958176,0.251526177
50308.344,13.974540,0.252116412
50368.725,13.991312,0.254410535
50428.748,14.007986,0.258284956
50487.659,14.024350,0.260237306
50548.107,14.041141,0.258785367
50611.384,14.058718,0.259064734
50673.370,14.075936,0.259342372
50732.281,14.092300,0.259256661
