Time_s,Sensor_negDegPLA,TempActual_C
13306.084975,112.683234,50.022210
13375.819817,112.661273,50.014863
13445.554674,112.621227,50.004574
13481.713514,112.583820,50.004707
13515.289583,112.569695,50.009564
13533.369022,112.562234,50.012179
13551.448384,112.557070,50.014794
13569.527781,112.548812,50.017410
13605.686680,112.532383,50.022640
13639.262755,112.512766,50.022041
13708.997581,112.485883,50.007887
13796.811858,112.442102,49.997068
13814.891280,112.438031,49.994990
13851.050105,112.424570,49.990833
13884.626102,112.388508,49.990511
13954.360916,112.366148,49.992851
14078.333964,112.300641,49.998301
14096.413364,112.292359,49.999759
14166.148259,112.257828,50.005577
14184.227659,112.251414,50.007239
14253.962529,112.219344,50.017489
14323.697415,112.216320,50.018840
14341.776767,112.198594,50.017386
14411.511646,112.200812,50.016285
14429.591061,112.194648,50.016579
14463.167129,112.174922,50.017125
14481.246565,112.174695,50.017419
14499.326003,112.172992,50.017713
14535.484841,112.169617,50.019061
14587.140273,112.154586,50.022024
14605.219720,112.159789,50.023062
14623.299181,112.149719,50.024099
14693.034112,112.131445,50.021927
14780.848460,112.104242,50.013476
14832.503929,112.090078,50.013397
14850.583342,112.089078,50.013604
14868.662791,112.084625,50.013812
14920.318277,112.073648,50.009658
14938.397728,112.061805,50.007435
15026.211916,112.033156,49.999534
15150.185091,112.013836,50.022693
15183.761154,112.000258,50.020491
15201.840529,112.003203,50.019306
15219.919978,111.989812,50.018120
15253.496030,111.962695,50.019655
15289.654895,111.972922,50.025473
15377.469225,111.964008,50.026641
15413.628047,111.947703,50.022321
15447.204186,111.940711,50.040073
15553.097939,111.938688,50.090361
15589.256786,111.936266,50.094986
15622.832793,111.946172,50.085607
15658.991673,111.934641,50.071001
15728.726619,111.929094,50.077655
15746.806033,111.923344,50.070798
15764.885424,111.918461,50.063940
15816.540933,111.918070,50.047102
15922.434657,111.899070,50.033039
15940.514063,111.909305,50.030979
15958.593475,111.909516,50.028920
16098.063250,111.857320,50.028416
16134.222094,111.858836,50.026864
16167.798174,111.844031,50.023634
16185.877594,111.846242,50.022164
16203.957034,111.842445,50.020695
16222.036471,111.840141,50.019225
16258.195328,111.834688,50.016285
16291.771413,111.831945,50.017456
16309.850874,111.822250,50.019955
16361.506359,111.806680,50.027094
16485.479453,111.783711,50.026711
16503.558870,111.775828,50.029515
16555.214398,111.779047,50.037527
16573.293818,111.771625,50.040331
16624.949256,111.771625,50.048343
16643.028681,111.778773,50.051147
16661.108079,111.771922,50.053951
16730.842920,111.778688,50.063587
16800.577792,111.785648,50.069792
16818.657205,111.776438,50.071400
16870.312684,111.774328,50.075996
16888.392086,111.780359,50.077604
16906.471522,111.784156,50.079213
16942.630319,111.776258,50.082430
17012.365164,111.763922,50.086490
17045.941218,111.758086,50.082501
17082.100019,111.714250,50.074563
17100.179426,111.717992,50.070595
17169.914289,111.753711,50.057590
17206.073116,111.758813,50.066545
17345.542991,111.726680,50.057452
17381.701842,111.719672,50.047456
17415.277872,111.715070,50.038175
17451.436752,111.712531,50.021043
17539.251084,111.693078,50.017638
17557.330527,111.695211,50.016391
17575.409945,111.687578,50.015144
17608.986014,111.684555,50.017775
17714.879729,111.665297,50.003964
17766.535224,111.645859,49.994389
17784.614629,111.643797,49.990440
17802.694064,111.645437,49.986492
17820.773544,111.647914,49.982544
17854.349661,111.629922,49.980928
18011.899102,111.617578,49.996696
18029.978550,111.609680,49.994076
18048.058011,111.595844,49.991455
18099.713574,111.599523,49.997476
18205.607388,111.557680,50.005099
18223.686823,111.559766,50.006358
18241.766212,111.557359,50.007617
18311.501046,111.545859,50.016061
18381.236009,111.540008,50.027967
18417.394876,111.534922,50.033445
18450.970887,111.541469,50.037908
18469.050303,111.529648,50.040310
18487.129718,111.530805,50.042713
18505.209127,111.535500,50.045116
18541.367934,111.541813,50.049922
18574.943991,111.543703,50.041533
18768.652053,111.542969,50.027818
18856.466418,111.520109,50.033994
18908.121894,111.536125,49.992614
18926.201336,111.525469,49.969096
18944.280776,111.529680,49.945578
19014.015630,111.497148,49.770531
19050.174480,111.420000,49.537846
19119.909299,111.235391,49.072932
19137.988733,111.184750,48.952052
19225.803127,110.841203,48.360210
19295.538084,110.514859,47.948652
19419.511196,109.857164,47.278233
19453.087231,109.686039,47.100253
19489.246042,109.494367,46.905886
19558.981031,109.099383,46.546959
19664.874816,108.460461,46.011511
19698.450846,108.266805,45.837908
19734.609682,108.053172,45.654286
19768.185743,107.816141,45.487043
19804.344517,107.623641,45.306936
19822.423965,107.501609,45.216882
19840.503425,107.376734,45.126828
19858.582822,107.270680,45.036774
19892.158903,107.071844,44.871112
19928.317750,106.848852,44.692013
20067.787589,105.970617,43.973627
20103.946432,105.730930,43.771797
20137.522493,105.506836,43.574972
20243.416092,104.769539,42.943459
