Time_s,Sensor_negDegTPU,TempActual_C
4867.046996,115.082836,25.009491
4936.780926,115.031352,25.003453
5024.593993,115.011656,24.998141
5042.673140,115.016328,24.996232
5130.486331,114.985492,24.987019
5148.565522,114.995414,24.985131
5200.220250,114.958555,24.979736
5218.299410,114.930227,24.977848
5288.033258,114.919938,24.976423
5306.112394,114.915297,24.976570
5324.191515,114.916141,24.976717
5342.270688,114.927172,24.976864
5412.004485,114.887117,24.974000
5481.738522,114.861266,24.967001
5569.551671,114.844734,24.976227
5587.630805,114.851586,24.975431
5675.443843,114.807563,24.971565
5745.177712,114.789477,24.973082
5763.256832,114.771125,24.974712
5781.335956,114.758305,24.976342
5814.911506,114.753867,24.979369
5851.069772,114.747156,24.981831
5990.537398,114.739156,24.981030
6008.616542,114.716141,24.978952
6026.695675,114.730180,24.976874
6060.271175,114.721773,24.972601
6096.429345,114.687633,24.976010
6235.896941,114.638508,25.001709
6253.976073,114.612172,25.001020
6272.055219,114.639180,25.000331
6305.630738,114.613594,24.999052
6341.789075,114.589766,24.997675
6359.868232,114.598016,24.996986
6377.947395,114.581812,24.996297
6396.026542,114.558516,24.995609
6429.602063,114.579289,24.992555
6553.573368,114.574141,24.997089
6571.652523,114.568477,24.996153
6641.386343,114.536078,24.992540
6711.120149,114.489969,24.988926
6747.278386,114.510070,24.992570
6798.933017,114.462594,25.001566
6817.012176,114.462563,25.002136
6886.746007,114.433336,25.004336
6956.479842,114.468734,25.006536
6974.559003,114.454477,25.007106
6992.638111,114.468406,25.007676
7010.717229,114.421852,25.008247
7062.371857,114.428922,25.009876
7080.451035,114.413883,25.010446
7116.609248,114.396672,25.007810
7150.184780,114.400898,25.007313
7168.263887,114.376836,25.009747
7343.889729,114.372461,24.918231
7431.702635,114.324445,25.282699
7449.781780,114.336008,25.477454
7501.436499,114.380852,26.033897
7519.515579,114.408383,26.228652
7555.673803,114.536320,26.625005
7625.407567,114.799359,27.234278
7643.486694,114.945906,27.377882
7713.220492,115.331281,27.871404
7731.299623,115.458133,27.951617
7819.112546,115.724570,28.323763
7837.191679,115.768602,28.395234
7925.004505,115.899328,28.791356
7976.659125,116.118836,29.067828
7994.738243,116.188563,29.164594
8012.817325,116.215258,29.261359
8048.975547,116.400094,29.454890
8118.709292,116.648781,29.847997
8152.284805,116.758797,30.041807
8188.443033,116.873914,30.250525
8345.989597,117.662000,31.146845
8382.147872,117.895750,31.347038
8451.881728,118.313023,31.723800
8488.039975,118.466750,31.921449
8575.852740,119.022914,32.417008
8627.507323,119.364992,32.708274
8645.586437,119.446469,32.810021
8663.665583,119.634695,32.911769
8681.744689,119.723367,33.013517
8715.320131,120.015727,33.184865
8872.866690,121.199234,34.021458
8890.945794,121.303008,34.123390
8909.024914,121.454281,34.225321
8960.679537,121.843820,34.516555
8996.837742,122.054797,34.720419
9014.916876,122.234602,34.822350
9032.995995,122.350492,34.924282
