Time_s,Bridge_BridgeSidsteTest,TempActual_C,TempTarget_C
25594.37400368,-99.20333325863,NaN,NaN
25648.61126942,-3.492296906188,NaN,NaN
25701,NaN,21.447,21.437
25754.5031819,-77.36586034298,NaN,NaN
25811.32327164,-69.39414143562,NaN,NaN
25865.56074166,-63.7268871069,NaN,NaN
25918,NaN,21.414,21.407
25974.0356502,-55.91456964612,NaN,NaN
26028.273186,-51.8234372139,NaN,NaN
26079.92787106,-2.197974361479,NaN,NaN
26135,NaN,21.371,21.377
26188.4026646,-1.932304934599,NaN,NaN
26241,NaN,21.392,21.362
26296,NaN,21.385,21.354
26349,NaN,21.368,21.347
26402.76926128,-35.25165840983,NaN,NaN
26457.0064911,-32.745487988,NaN,NaN
26511.24390828,-31.80850297213,NaN,NaN
26565.4811216,-1.530077890493,NaN,NaN
26619.7184412,-28.06691266596,NaN,NaN
26673.95576802,-26.31342224777,NaN,NaN
26728.19312824,-24.07864667475,NaN,NaN
26780,NaN,21.29,21.287
26836,NaN,21.273,21.28
26891,NaN,21.257,21.272
26945.14231548,-16.80154725909,NaN,NaN
26999.37965638,-15.64894244075,NaN,NaN
27053.61698724,-14.87198006362,NaN,NaN
27107.85439468,-14.03911225498,NaN,NaN
27159.50897432,-12.14815396816,NaN,NaN
27214,NaN,21.249,21.227
27267.98368262,-10.13643387705,NaN,NaN
27320,NaN,21.245,21.212
27376,NaN,21.221,21.205
27430.69554878,-0.7235598750412,NaN,NaN
27482.35032008,-5.018721800297,NaN,NaN
27537,NaN,21.191,21.182
27593,NaN,21.185,21.174
27645.06229196,-0.4706070758402,NaN,NaN
27699.29968178,0.06771630432922,NaN,NaN
27753.53717506,-0.3685322008096,NaN,NaN
27805.19184944,1.885746256448,NaN,NaN
27861,NaN,21.147,21.137
27914,NaN,21.13,21.13
27970.48652938,4.489870741963,NaN,NaN
28023,NaN,21.102,21.115
28076.37846288,6.791565567255,NaN,NaN
28133.19851178,8.832525461912,NaN,NaN
28184.85300954,10.24983637035,NaN,NaN
28240,NaN,21.086,21.085
28295,NaN,21.077,21.077
28347.564855,0.3211177536286,NaN,NaN
28401.80213064,15.305952169,NaN,NaN
28457,NaN,21.06,21.054
28512,NaN,21.053,21.047
28567.09684416,18.94954778254,NaN,NaN
28621.33427006,25.97860991955,NaN,NaN
28674,NaN,21.023,21.024
28727.22645538,21.29675075412,NaN,NaN
28781.46388852,21.25963196158,NaN,NaN
28835.70135206,20.69750241935,NaN,NaN
28889.93863228,0.698012416251,NaN,NaN
28944.17599284,20.38760483265,NaN,NaN
28998,NaN,20.988,20.979
29052.6507736,19.69053596258,NaN,NaN
29106.88811572,19.10433731973,NaN,NaN
29161,NaN,20.955,20.957
29215.3627981,18.38136278093,NaN,NaN
29267.01733502,17.82140694559,NaN,NaN
29323,NaN,20.93,20.934
29378,NaN,20.927,20.926
29429.72937148,0.2515814267099,NaN,NaN
29485,NaN,20.916,20.912
29540.78685588,0.2793042804115,NaN,NaN
29596,NaN,20.905,20.896
29649.26150196,11.05711981654,NaN,NaN
29703.49881596,10.55260840803,NaN,NaN
29757,NaN,20.877,20.874
29809.3908075,8.942730724812,NaN,NaN
29863.62812206,9.173793718219,NaN,NaN
29917.86559992,8.152856491506,NaN,NaN
29969.52031598,0.1755150587996,NaN,NaN
30025,NaN,20.837,20.837
30080,NaN,20.832,20.829
30132.2325038,2.834514249116,NaN,NaN
30186.46988148,1.950585632585,NaN,NaN
30240.70728346,1.487430301495,NaN,NaN
30292.36195706,0.03472362732282,NaN,NaN
30349.18203536,-1.43063638825,NaN,NaN
30403.41929224,-2.772846259177,NaN,NaN
30457.65653238,-3.500774502754,NaN,NaN
30511.89363564,-4.701728001237,NaN,NaN
30565,NaN,20.755,20.762
30620.36827438,-0.5090999184176,NaN,NaN
30674.60571988,-7.328983861953,NaN,NaN
30726.2602346,-8.116821758449,NaN,NaN
30782,NaN,20.739,20.732
30834.73478194,-11.38929184526,NaN,NaN
30888,NaN,20.728,20.717
30943,NaN,20.716,20.709
30994.86435112,-15.67803695798,NaN,NaN
31049,NaN,20.699,20.694
31105,NaN,20.694,20.687
31160.15903838,-19.19498108327,NaN,NaN
31211.81353326,-21.02855592966,NaN,NaN
31268.6335343,-21.55977673829,NaN,NaN
31322.8709099,-22.95434288681,NaN,NaN
31374.52540036,-24.97877180576,NaN,NaN
31429,NaN,20.648,20.642
31482.99997214,-30.159259215,NaN,NaN
31535,NaN,20.631,20.627
31590,NaN,20.611,20.619
31645.71170908,-62.59190291166,NaN,NaN
31697.36629732,-69.30297613144,NaN,NaN
31752,NaN,20.597,20.597
31808,NaN,20.594,20.589
31862.66086652,-33.36138278246,NaN,NaN
31919,NaN,20.578,20.574
31971.13551224,-99.06276315451,NaN,NaN
32025.37278544,-100.8163765073,NaN,NaN
32079.61004544,-102.142997086,NaN,NaN
32131.26454264,-2.955688629299,NaN,NaN
32188,NaN,20.552,20.536
32242,NaN,20.531,20.529
32293.97629916,-110.6825247407,NaN,NaN
32348.2134884,-114.2531260848,NaN,NaN
32402.45074974,-115.6101897359,NaN,NaN
32456.68799082,-119.6275427938,NaN,NaN
32510.92521618,-123.1981441379,NaN,NaN
32565.16252168,-126.1403411627,NaN,NaN
32616.81706024,-4.749388899654,NaN,NaN
32672,NaN,20.474,20.469
32727,NaN,20.467,20.461
32779.52905286,-145.397156477,NaN,NaN
32833.76633594,-162.7643704414,NaN,NaN
32888.00368702,-6.456478964537,NaN,NaN
32939.65824012,-171.5719252825,NaN,NaN
32995,NaN,20.439,20.424
33048.13266094,-191.5639638901,NaN,NaN
33102.36997034,-196.2053179741,NaN,NaN
33156.60737612,-199.0151703358,NaN,NaN
33212,NaN,20.4055,20.394
33267,NaN,20.393,20.386
33321.90196844,-9.174239821732,NaN,NaN
33376.13941894,-8.854498155415,NaN,NaN
33430.37693418,-217.0117795467,NaN,NaN
33484,NaN,20.352,20.356
33536.2689309,-218.7400907278,NaN,NaN
33593.08901396,-221.1192548275,NaN,NaN
33646,NaN,20.334,20.334
33698.98110786,-226.0458320379,NaN,NaN
33755.80123822,-227.7825176716,NaN,NaN
33810.0387888,-229.8023104668,NaN,NaN
33863,NaN,20.308,20.304
33918,NaN,20.299,20.296
33970.16808978,-234.085381031,NaN,NaN
34024,NaN,20.284,20.281
34078.64305958,-9.27746295929,NaN,NaN
34130.29766684,-235.9221577644,NaN,NaN
34186,NaN,20.268,20.259
34241.35514688,-241.3274198771,NaN,NaN
34295.59248694,-243.350058794,NaN,NaN
34349,NaN,20.239,20.236
34404,NaN,20.228,20.228
34455.72190942,-280.1478505135,NaN,NaN
34509.95916238,-280.0433933735,NaN,NaN
34564.19645968,-281.528711319,NaN,NaN
34618.433689,-284.4360470772,NaN,NaN
34672.67102038,-284.3360900879,NaN,NaN
34726.90844016,-1.518851611763,NaN,NaN
34778.5631131,-285.7804298401,NaN,NaN
34835.38333046,-287.0656549931,NaN,NaN
34889.62072004,-288.5264754295,NaN,NaN
34943.85802732,-290.0196313858,NaN,NaN
34999,NaN,20.149,20.146
35052.33274118,-13.72579857707,NaN,NaN
35105,NaN,20.14,20.131
35160.80744676,-296.9744801521,NaN,NaN
35212.4620601,-299.4844019413,NaN,NaN
35266.699436,-13.97405564785,NaN,NaN
35320.93691448,-307.6843321323,NaN,NaN
35375.174406,-339.4665420055,NaN,NaN
35429.41193978,-344.1551625729,NaN,NaN
35484,NaN,20.081,20.078
35540,NaN,20.067,20.071
35592.12435104,-374.3563592434,NaN,NaN
35648.94459486,-378.337264061,NaN,NaN
35701,NaN,20.055,20.048
35757,NaN,20.05,20.041
35811.6570562,-394.3295776844,NaN,NaN
35865.89439312,-396.7984318733,NaN,NaN
35920.13172558,-397.7212011814,NaN,NaN
35974.36917466,-397.4354565144,NaN,NaN
36028.60663792,-409.2423319817,NaN,NaN
36082.8440062,-408.3252251148,NaN,NaN
36136,NaN,19.954,20.012
36188.73603346,-20.08447982371,NaN,NaN
36242.97329204,-407.9812169075,NaN,NaN
36297,NaN,19.981,20.034
36348.86530038,-406.8838655949,NaN,NaN
36404,NaN,20.032,20.049
36459,NaN,20.06,20.057
36511.57745566,-404.033690691,NaN,NaN
36566,NaN,20.088,20.072
36620.0523012,-401.9991755486,NaN,NaN
36672,NaN,20.109,20.087
36727,NaN,20.125,20.094
36780.1816864,-398.206025362,NaN,NaN
36834.41895638,-396.9751596451,NaN,NaN
36890,NaN,20.128,20.117
36944,NaN,20.131,20.124
36997.13134274,-20.12490667403,NaN,NaN
37052,NaN,20.16,20.139
37105.60623442,-390.9562826157,NaN,NaN
37158,NaN,20.169,20.154
37214,NaN,20.177,20.162
37265.73544224,-7.95896910131,NaN,NaN
37320,NaN,20.179,20.177
37375,NaN,20.203,20.184
37431,NaN,20.204,20.192
37486,NaN,20.211,20.2
37539.50500258,-357.6084673405,NaN,NaN
37592,NaN,20.237,20.214
37648,NaN,20.227,20.222
